barcode,pilot_score,pilot_grade,baseline_score,baseline_grade,delta,sugars_g,shelf_rel_pen,floor_applied,binding_cap,category
4013228100001,79.7,B,85,A,-5.3,2.0,-1,,None,cereal
4016249100001,67.2,B,68.5,B,-1.3,12.0,,,94.8,snack_bar_granola
4016249100002,71.1,B,74.3,B,-3.2,10.0,,,None,snack_bar_granola
5000159100001,49.8,D,52.0,C,-2.2,24.0,2,,55,cereal
5011145100001,75.2,B,75.6,B,-0.4,4.5,-1,,94.8,cereal
5054568100001,63.4,C,64.8,C,-1.4,8.0,-1,,94.8,cereal
5054568100002,62.2,C,62.5,C,-0.3,9.0,-1,,72,cereal
5054568100010,30.2,E,31.8,E,-1.6,35.0,4,,55,cereal
5054568100011,30.3,E,35.0,D,-4.7,38.0,6,,55,cereal
5054568100012,25.1,E,31.1,E,-6.0,39.0,6,,55,cereal
5054568100020,61.2,C,62.5,C,-1.3,17.0,,,94.8,cereal
5054568100021,51.0,C,52.0,C,-1.0,18.5,1,,55,cereal
5054568100022,69.5,B,70.4,B,-0.9,16.0,,,72,cereal
5054568100030,49.8,D,51.2,C,-1.4,20.0,,,55,snack_bar_granola
5054568100040,68.0,B,68.8,B,-0.8,16.0,,,72,cereal
5054568100050,62.9,C,61.6,C,1.3,14.0,,,87.2,cereal
5900100000003,80.8,A,85.0,A,-4.2,1.1,-1,,None,cereal
5900100000005,81.8,A,85.0,A,-3.2,0.5,-2,,None,cereal
5900100000006,54.0,C,55.0,C,-1.0,18.5,1,,55,cereal
5900100000007,67.7,B,69.0,B,-1.3,16.0,,,94.8,cereal
7290100000001,81.2,A,85.4,A,-4.2,1.1,-1,,None,cereal
7290100000002,80.4,A,85,A,-4.6,1.0,-1,,None,cereal
7290100000004,86.9,A,90.7,S,-3.8,1.5,-1,,None,cereal
7290100000008,78.5,B,81.1,A,-2.6,5.0,-1,,None,cereal
7290100000011,63.5,C,63.9,C,-0.4,7.5,-1,,94.8,cereal
7290100000020,30.3,E,34.3,E,-4.0,30.0,4,,55,cereal
7290100000028,46.7,D,47.0,D,-0.3,18.0,,,55,snack_bar_granola
7290100000029,29.0,E,33.0,E,-4.0,24.0,,,45,snack_bar_granola
7290100000030,58.8,C,60.3,C,-1.5,12.0,,,68.0,snack_bar_granola
7290100000031,61.1,C,62.4,C,-1.3,10.0,,,70,snack_bar_granola
7290100000032,42.7,D,44.0,D,-1.3,22.0,,,55,snack_bar_granola
7290100000033,52.0,C,52.0,C,0.0,19.0,,,55,snack_bar_granola
7290100000034,65.8,B,66.8,B,-1.0,8.0,,,70,snack_bar_granola
7290100000038,64.8,C,66.4,B,-1.6,15.0,,,94.8,snack_bar_granola
7290100000041,72.7,B,73.0,B,-0.3,8.0,-1,,94.8,cereal
7290100000042,74.5,B,74.9,B,-0.4,5.0,-1,,94.8,cereal
7290100000045,64.3,C,64.1,C,0.2,10.0,,,68.0,cereal
7613031100001,59.0,C,60.4,C,-1.4,8.5,-1,,72,cereal
7613031100010,28.9,E,30.5,E,-1.6,36.0,4,,55,cereal
7613031100011,48.4,D,51.7,C,-3.3,26.0,2,,55,cereal
7613031100012,26.0,E,30.0,E,-4.0,28.0,4,,45,cereal
7613031100020,52.1,C,53.4,C,-1.3,16.0,,,72,cereal
7613031100021,51.0,C,52.0,C,-1.0,18.5,1,,55,cereal
7613031100050,63.0,C,63.0,C,0.0,12.0,,,68.0,cereal
8437014100001,69.3,B,85,A,-15.7,4.0,-1,,None,cereal
