barcode,flag_on,flag_off,clean_delta,grade_on,grade_off,category,sugars_g,term_fired
4013228100001,79.7,78.7,1.0,B,B,cereal,2.0,True
4016249100001,67.2,67.2,0.0,B,B,snack_bar_granola,12.0,False
4016249100002,71.1,71.1,0.0,B,B,snack_bar_granola,10.0,False
5000159100001,49.8,51.8,-2.0,D,C,cereal,24.0,True
5011145100001,75.2,74.2,1.0,B,B,cereal,4.5,True
5054568100001,63.4,62.4,1.0,C,C,cereal,8.0,True
5054568100002,62.2,61.2,1.0,C,C,cereal,9.0,True
5054568100010,30.2,31.8,-1.6,E,E,cereal,35.0,True
5054568100011,30.3,36.3,-6.0,E,D,cereal,38.0,True
5054568100012,25.1,31.1,-6.0,E,E,cereal,39.0,True
5054568100020,61.2,61.2,0.0,C,C,cereal,17.0,False
5054568100021,51.0,52.0,-1.0,C,C,cereal,18.5,True
5054568100022,69.5,69.5,0.0,B,B,cereal,16.0,False
5054568100030,49.8,49.8,0.0,D,D,snack_bar_granola,20.0,False
5054568100040,68.0,68.0,0.0,B,B,cereal,16.0,False
5054568100050,62.9,62.9,0.0,C,C,cereal,14.0,False
5900100000003,80.8,79.8,1.0,A,B,cereal,1.1,True
5900100000005,81.8,79.8,2.0,A,B,cereal,0.5,True
5900100000006,54.0,55.0,-1.0,C,C,cereal,18.5,True
5900100000007,67.7,67.7,0.0,B,B,cereal,16.0,False
7290100000001,81.2,80.2,1.0,A,A,cereal,1.1,True
7290100000002,80.4,79.4,1.0,A,B,cereal,1.0,True
7290100000004,86.9,85.9,1.0,A,A,cereal,1.5,True
7290100000008,78.5,77.5,1.0,B,B,cereal,5.0,True
7290100000011,63.5,62.5,1.0,C,C,cereal,7.5,True
7290100000020,30.3,34.3,-4.0,E,E,cereal,30.0,True
7290100000028,46.7,46.7,0.0,D,D,snack_bar_granola,18.0,False
7290100000029,29.0,29.0,0.0,E,E,snack_bar_granola,24.0,False
7290100000030,58.8,58.8,0.0,C,C,snack_bar_granola,12.0,False
7290100000031,61.1,61.1,0.0,C,C,snack_bar_granola,10.0,False
7290100000032,42.7,42.7,0.0,D,D,snack_bar_granola,22.0,False
7290100000033,52.0,52.0,0.0,C,C,snack_bar_granola,19.0,False
7290100000034,65.8,65.8,0.0,B,B,snack_bar_granola,8.0,False
7290100000038,64.8,64.8,0.0,C,C,snack_bar_granola,15.0,False
7290100000041,72.7,71.7,1.0,B,B,cereal,8.0,True
7290100000042,74.5,73.5,1.0,B,B,cereal,5.0,True
7290100000045,64.3,64.3,0.0,C,C,cereal,10.0,False
7613031100001,59.0,58.0,1.0,C,C,cereal,8.5,True
7613031100010,28.9,30.5,-1.6,E,E,cereal,36.0,True
7613031100011,48.4,50.4,-2.0,D,C,cereal,26.0,True
7613031100012,26.0,30.0,-4.0,E,E,cereal,28.0,True
7613031100020,52.1,52.1,0.0,C,C,cereal,16.0,False
7613031100021,51.0,52.0,-1.0,C,C,cereal,18.5,True
7613031100050,63.0,63.0,0.0,C,C,cereal,12.0,False
8437014100001,69.3,68.3,1.0,B,B,cereal,4.0,True
