rank,product_name,brand,bari_score,grade,sodium_mg_100g,protein_g,fat_g,energy_kcal,sat_fat_g,clean_label,ingredients,barcode
1,קוביות פטה עיזים מעודנת 5% — מחלבות גד,מחלבות גד,85,A,950.0,15.0,5.0,117.0,3.3,no,"חלב עזים מפוסטר, מלח, חומר משמר (פוטסיום סורבט)",7290019635826
2,גבינה צפתית 5% שומן — מחלבות גד,מחלבות גד,85,A,600.0,12.0,5.0,117.0,3.3,no,"חלב מפוסטר, מלח, חומר משמר (פוטסיום סורבט)",554457
3,גבינה צפתית מעודנת 5% — מחלבות גד,מחלבות גד,85,A,600.0,12.0,5.0,117.0,3.3,no,"חלב מפוסטר, מלח, חומר משמר (פוטסיום סורבט)",554532
4,גבינה בולגרית 5% — משק צוריאל,משק צוריאל,84,A,1550.0,20.5,5.0,133.0,3.0,no,"חלב בקר מפוסטר, מלח, חומר משמר (פוטסיום סורבאט)",7290102397334
5,בולגרית מסורתית 5% — שופרסל,שופרסל,82,A,1000.0,16.0,5.0,117.0,3.0,no,"חלב, מלח, משמר (E202)",7296073641940
6,קוביות בולגרית מעודנת 5% — מחלבות גד,מחלבות גד,80,A,1010.0,10.0,5.0,93.0,3.0,no,"חלב מפוסטר, מלח ים, חומר משמר (פוטסיום סורבט)",7290011499129
7,גבינה בולגרית 5% שומן — מחלבת רמת הגולן,מחלבת רמת הגולן,80,A,1300.0,21.0,5.0,137.0,3.6,no,"חלב בקר מפוסטר, רכיבי חלב, מלח, חומר משמר (E202ׂ)",2133162
8,פטה מעודנת עיזים 5% — מחלבות גד,מחלבות גד,80,A,950.0,15.0,5.0,177.0,3.3,no,"חלב עיזים מפוסטר, מלח ים טבעי, חומר משמר E202",7290011499303
9,קוביות בולגרית מעודנת 13% — יורו מחלבות אירופה,יורו מחלבות אירופה,80,A,720.0,12.0,13.0,176.0,8.5,yes,"חלב מפוסטר, מלח,תרבית לקטית  מקריש",7290108509106
10,בולגרית מעודנת 5% שומן — מחלבת רמת הגולן,מחלבת רמת הגולן,79,B,1200.0,13.0,5.0,109.0,3.3,no,"חלב בקר ,רכיבי חלב,מווסת חומציות(E575),מלח, חומר משמר(E202)",2133889
11,בולגרית מעודנת 5% — שופרסל,שופרסל,79,B,1000.0,12.5,5.0,111.0,3.3,no,"חלב, חלבוני חלב, מווסת חומציות (E575), חמאה, מלח, משמר (E202)",7296073641964
12,גבינה בולגרית מעודנת 5% — מחלבות גד,מחלבות גד,76,B,1010.0,10.0,5.0,93.0,3.0,no,"חלב בקר מפוסטר, מלח ים טבעי, חומר משמר (E-202)",7290011499327
13,בולגרית של פעם 16% — מחלבת רמת הגולן,מחלבת רמת הגולן,76,B,1300.0,16.0,16.0,210.0,10.6,no,"חלב בקר מפוסטר, רכיבי חלב, מלח, חומר משמר (202-E)",7290019790402
14,פטה עיזים מעודנת 16% — מחלבות גד,מחלבות גד,76,B,950.0,14.0,16.0,212.0,10.7,no,"חלב עיזים מפוסטר, מלח , חומר משמר (פוטסיום סורבט)",7290017065663
15,גבינה בולגרית מסורתית 5% — מחלבות גד,מחלבות גד,75,B,1200.0,10.0,5.0,93.0,3.0,no,"חלב בקר מפוסטר, מלח, חומר משמר (E-202)",7290011499105
16,פטה עיזים 20% שומן — מחלבות גד,מחלבות גד,75,B,770.0,14.0,20.0,242.0,13.3,no,"חלב עיזים מפוסטר, מלח, חומר משמר (E-202)",7290011499358
17,גבינה צפתית בטעמים — מחלבת המושבה,מחלבת המושבה,74,B,850.0,18.5,5.0,135.0,3.0,no,"חלב בקר מפוסטר, מלח, שום 1.8%, שמיר 0.97%, חומר משמר E202, אנזים",4861360
18,בולגרית מעודנת 5% — משק צוריאל,משק צוריאל,72,B,1000.0,12.0,5.0,108.0,3.0,no,"חלב בקר מפוסטר, מי מלח, מייצבים (אגר, גומי זרעי חרובים), סיבים תזונתיים, חומר משמר (פוטסיום סורבאט)",2107798
19,בולגרית 24% — משק צוריאל,משק צוריאל,72,B,1400.0,14.8,14.0,275.0,9.6,no,"חלב בקר מפוסטר, מלח, חומר משמר (פוטסיום סורבאט)",7290114314015
20,פטה עיזים 16% שומן — מחלבות רמת הגולן,מחלבות רמת הגולן,72,B,1400.0,17.0,16.0,214.0,11.0,no,"חלב עיזים מפוסטר, מלח, חומר משמר (E202)",7290019790808
21,בולגרית מסורתית 16% — שופרסל,שופרסל,72,B,1000.0,13.5,16.0,206.0,10.6,no,"חלב, מלח, משמר (E202)",7296073641957
22,פטה כבשים 20% — שופרסל,שופרסל,72,B,1100.0,14.5,20.0,240.0,13.0,no,"חלב כבשים, מלח, משמר (E202)",7296073641902
23,גבינה פטה כבשים 20% — מחלבות גד,מחלבות גד,72,B,930.0,14.0,20.0,236.0,13.3,no,"חלב כבשים מפוסטר, מלח, חומר משמר (E-202)",7290011499051
24,פטה כבשים 20% שומן — מחלבת רמת הגולן,מחלבת רמת הגולן,70,B,1500.0,16.0,20.0,246.0,13.0,no,"חלב כבשים , מלח, חומר משמר (E202)",7290019790112
25,גבינה בולגרית 16% שומן — מחלבות גד,מחלבות גד,70,B,1200.0,12.5,16.0,202.0,10.6,no,"חלב בקר מפוסטר, מלח, חומר משמר (E-202)",7290011499112
26,קוביות בולגרית מעודנת 16% — מחלבות גד,מחלבות גד,69,B,1010.0,10.0,16.0,192.0,10.6,no,"חלב מפוסטר, מלח ים, חומר משמר (פוטסיום סורבט)",7290019635222
27,בולגרית מעודנת 24% — מחלבות גד,מחלבות גד,68,B,1010.0,11.0,24.0,274.0,16.0,no,"חלב מפוסטר, שמנת מפוסטרת, מלח (27%), חומר משמר (פוטסיום סורבט)",7290017065236
28,גבינת חלומי 23% — יורו מחלבות אירופה,יורו מחלבות אירופה,67,B,1000.0,22.0,23.0,301.0,14.2,no,"חלב מפוסטר (פרה,כבשים,עיזים) ,מלח, מקריש",7290108509755
29,גבינה מלוחה חמד 16% — פיראוס,פיראוס,66,B,1065.0,20.0,16.0,234.0,10.0,no,"חלב בקר (93.5%), רכיבי חלב, מלח, חומר משמר (E-202)",48413
30,גבינת טמרה מלוחה בקר 17% — מחלבת רג'ב,מחלבת רג'ב,65,C,1628.0,19.0,17.0,257.0,11.7,yes,"חלב בקר מפוסטר , מלח",3075805
31,חלומי בקר — משק צוריאל,משק צוריאל,65,C,980.0,24.0,28.0,356.0,17.0,no,"חלב בקר מפוסטר, מלח, חומר משמר (פוטסיום סורבאט)",7290102393718
32,חלומי בקר 24% — שופרסל,שופרסל,62,C,1000.0,22.0,24.0,310.0,15.6,no,"חלב, מלח, משמר (E202)",7296073641919
33,גבינת חלומי 24% — מחלבות גד,מחלבות גד,57,C,1000.0,21.0,24.0,304.0,16.0,no,"חלב בקר מפוסטר, מלח, חומרים משמרים (E-202, E-252)",7290011499365
34,בולגרית מעודנת 16% — משק צוריאל,משק צוריאל,55,C,950.0,7.3,16.0,187.0,9.6,no,"חלב בקר מפוסטר, מי מלח, רכיבי חלב, מייצבים (אגר, גומי זרעי חרובים), סיבים תזונתיים, חומר משמר (פוטסיום סורבאט)",7290114312707
35,כדורי פטה בשמן מתובל — גבינות ניצן,גבינות ניצן,48,D,800.0,8.0,31.0,355.0,6.0,no,"חלב מפוסטר,שמן צמחי,שמן זית,מלח,תבלינים,ח.משמר (E-202)",369617
36,בולגרית שום+עשבי תיבול 16% — משק צוריאל,משק צוריאל,46,D,950.0,7.0,16.0,188.0,9.6,no,"חלב בקר מפוסטר, מי מלח, רכיבי חלב, מייצבים (אגר, גומי זרעי חרובים), מלח, סיבים תזונתיים, שום (0.3%), עשבי תיבול (0.2%), חומר משמר (פוטסיום סורבאט)",7290114312486
