cluster,id,fat,satFat,protein,live_score,live_grade,M1_score,M1_grade,delta
cottage,che-7290014758681,1.0,0.6,11.5,90,A,90,S,0
cottage,che-4127077,3.0,1.8,11.0,89,A,89,A,0
cottage,che-4127329,5.0,3.0,11.0,87,A,87,A,0
cottage,che-41445,5.0,3.0,11.0,87,A,87,A,0
cottage,che-7290110321277,5.0,3.0,11.0,87,A,87,A,0
cottage,che-2868996,5.0,3.0,10.0,84,A,84,A,0
cottage,che-7290114310918,5.0,3.0,10.1,77,B,77,B,0
cottage,che-7290011194246,5.0,3.0,10.2,75,B,75,B,0
cottage,che-4127336,9.0,5.4,10.5,81,B,75,B,-6
cottage,che-41452,9.0,5.4,10.5,81,B,75,B,-6
cottage,che-7290116931241,12.0,7.8,10.0,76,B,75,B,-1
white-cheese-quark,che-6040619,5.0,3.7,17.0,87,A,87,A,0
white-cheese-quark,che-7290116934280,5.0,3.25,9.0,84,A,84,A,0
white-cheese-quark,che-4127800,5.0,3.0,9.0,82,A,82,A,0
white-cheese-quark,che-4127862,5.0,3.0,9.0,82,A,82,A,0
white-cheese-quark,che-48185,5.0,3.0,9.0,82,A,82,A,0
white-cheese-quark,che-474502,5.0,3.0,8.1,79,B,79,B,0
white-cheese-quark,che-7290010945481,5.0,3.0,8.1,79,B,79,B,0
white-cheese-quark,che-7290102393268,5.0,3.0,8.1,79,B,79,B,0
white-cheese-quark,che-7290114311472,5.0,3.0,8.1,75,B,75,B,0
white-cheese-quark,che-2824183,5.0,3.0,7.9,73,B,73,B,0
white-cheese-quark,che-2824640,5.0,3.0,7.9,73,B,73,B,0
white-cheese-quark,che-56272,5.0,2.7,7.8,72,B,72,B,0
white-cheese-quark,che-7290119375219,5.0,3.0,9.5,64,C,64,C,0
white-cheese-quark,che-6492852,5.0,3.3,5.1,58,C,58,C,0
white-cheese-quark,che-7290112342102,5.0,2.9,8.7,58,C,58,C,0
white-cheese-quark,che-4127817,9.0,5.4,8.5,75,B,58,C,-17
white-cheese-quark,che-47942,9.0,5.4,8.5,75,B,58,C,-17
white-cheese-quark,che-3523230065467,17.0,12.0,10.0,68,B,58,C,-10
