barcode,pilot_score,pilot_grade,baseline_score,baseline_grade,delta,sugars_g,shelf_rel_pen,floor_applied,binding_cap,category
2986058,35.1,D,35.1,D,0.0,21.4,,,55,biscuit
2986065,35.4,D,35.4,D,0.0,21.7,,,55,biscuit
311128,18.0,E,29.1,E,-11.1,23.3,,,55,biscuit
311463,47.9,D,44.9,D,3.0,0.9,-3,,68.0,biscuit
311708,22.6,E,32.0,E,-9.4,21.5,,,45,biscuit
313160,21.8,E,31.2,E,-9.4,22.0,,,55,biscuit
4820180816552,16.0,E,18.0,E,-2.0,36.6,6,,45,biscuit
4820180816576,24.0,E,24.0,E,0.0,22.1,,,45,biscuit
4820180816590,23.6,E,20.9,E,2.7,26.2,1,,45,biscuit
4823077614675,17.4,E,23.6,E,-6.2,20.7,,,45,biscuit
4823077614699,26.0,E,26.0,E,0.0,20.7,,,45,biscuit
5317194,37.8,D,48.3,D,-10.5,22.0,,,55,biscuit
540160,54.1,C,63.1,C,-9.0,0.0,-3,,70,biscuit
5410126006049,18.1,E,18.1,E,0.0,38.1,6,,45,biscuit
5410126116168,18.1,E,18.1,E,0.0,38.1,6,,45,biscuit
5410126726244,18.1,E,18.1,E,0.0,38.1,6,,45,biscuit
5410126806250,18.1,E,18.1,E,0.0,38.1,6,,45,biscuit
61245,15.5,E,21.5,E,-6.0,34.0,4,,45,biscuit
7290011489625,37.7,D,37.7,D,0.0,22.0,,,55,biscuit
7290013453501,44.4,D,44.4,D,0.0,23.4,,,55,biscuit
7290013453631,31.6,E,32.0,E,-0.4,24.8,1,,45,biscuit
7290013453693,62.4,C,59.4,C,3.0,3.8,-3,,70,biscuit
7290013740052,45.5,D,44.7,D,0.8,13.3,-2,,55,biscuit
7290013740113,54.9,C,52.9,C,2.0,13.3,-2,,55,biscuit
7290013740137,52.4,C,50.4,C,2.0,10.6,-2,,55,biscuit
7290013740229,48.1,D,46.1,D,2.0,12.5,-2,,55,biscuit
7290013740342,44.1,D,42.9,D,1.2,0.0,-3,,55,biscuit
7290013740465,44.3,D,43.3,D,1.0,17.3,-1,,55,biscuit
7290013740472,41.2,D,45.2,D,-4.0,31.6,4,,55,biscuit
7290013740540,46.5,D,44.3,D,2.2,0.0,-3,,55,biscuit
7290013740557,48.5,D,48.1,D,0.4,17.1,-1,,94.8,biscuit
7290013740694,28.3,E,29.6,E,-1.3,21.0,,,45,biscuit
7290017894317,35.7,D,43.7,D,-8.0,24.0,,,55,biscuit
7290017898506,37.1,D,47.7,D,-10.6,20.0,,,55,biscuit
7290017962108,39.4,D,39.0,D,0.4,17.7,-1,,55,biscuit
7290017962139,55.7,C,54.5,C,1.2,None,-3,,94.8,biscuit
7290018371923,29.0,E,29.0,E,0.0,20.5,,,45,biscuit
7290018371930,28.6,E,37.0,D,-8.4,24.4,1,,45,biscuit
7290018371947,26.6,E,32.0,E,-5.4,24.4,1,,45,biscuit
7290018893845,36.0,D,52.3,C,-16.3,21.0,,,55,biscuit
7290109354972,10,E,10,E,0,22.0,,,55,biscuit
7290109354996,10.5,E,10.5,E,0.0,20.0,,,55,biscuit
7290119040179,11.8,E,22.8,E,-11.0,44.3,6,,45,biscuit
7290119040803,19.0,E,19.4,E,-0.4,20.0,,,45,biscuit
7290119041053,38.6,D,37.2,D,1.4,13.5,-2,,55,biscuit
7290119041107,38.6,D,55.0,C,-16.4,13.5,-2,,55,biscuit
7290119041152,38.6,D,37.2,D,1.4,13.5,-2,,55,biscuit
7290119041206,21.1,E,21.1,E,0.0,23.2,,,45,biscuit
7290119041350,21.1,E,21.1,E,0.0,23.2,,,45,biscuit
7290119043095,21.1,E,21.1,E,0.0,23.2,,,45,biscuit
7290119043743,49.7,D,48.7,D,1.0,14.6,-1,,55,biscuit
7290119043798,25.8,E,26.3,E,-0.5,19.6,,,45,biscuit
7290123330488,21.7,E,23.3,E,-1.6,30.5,4,,55,biscuit
74184,21.0,E,38.4,D,-17.4,22.0,,,55,biscuit
80083665,26.3,E,34.3,E,-8.0,24.0,,,55,biscuit
8008698037171,22.8,E,22.8,E,0.0,20.0,,,45,biscuit
960860015432,48.7,D,45.7,D,3.0,0.0,-3,,60,biscuit
99804,17.3,E,20.6,E,-3.3,37.3,6,,45,biscuit
