barcode,name,old_score,old_grade,new_score,new_grade,score_delta,grade_changed,binding_cap,nova,context_flag,category,d4_score_penalty,driver
2986058,פתי בר וניל — גטניו,35.5,D,35.5,D,0.0,False,55,4,,biscuit,0,binding_cap=55 | cap:ISRAELI_RED_LABEL_1_SUGAR | cap:NOVA_PROXY_4_ULTRA_PROCESSED | pen-5:HIGH_CAL_HIGH_SUGAR_SOFT | pen-3:SEED_OIL_PRESENT
2986065,פתי בר בטעם שוקולד — גטניו,35.8,D,35.8,D,0.0,False,55,4,,biscuit,0,binding_cap=55 | cap:ISRAELI_RED_LABEL_1_SUGAR | cap:NOVA_PROXY_4_ULTRA_PROCESSED | pen-5:HIGH_CAL_HIGH_SUGAR_SOFT | pen-3:SEED_OIL_PRESENT
311128,עוגיות בטעם חמאה — מן,18.0,E,18.0,E,0.0,False,55,4,,biscuit,0,binding_cap=55 | cap:HIGH_CAL_HIGH_SUGAR_MODERATE | cap:ISRAELI_RED_LABEL_1_SUGAR | pen-5:MULTIPLE_ADDED_SUGAR_MARKERS | pen-5:HIGH_CAL_HIGH_SUGAR_SOFT
311463,"עוגיות חמאה ללת""ס — מן",45.2,D,45.2,D,0.0,False,68.0,4,,biscuit,0,binding_cap=68.0 | cap:NOVA_PROXY_4_ULTRA_PROCESSED | cap:ADDITIVE_MARKERS_3_PLUS | pen-3:SEED_OIL_PRESENT
311708,עוגיות מחיטה מלאה מן — מן,23.0,E,23.0,E,0.0,False,45,4,,biscuit,0,binding_cap=45 | cap:HIGH_CAL_HIGH_SUGAR_MODERATE | cap:ISRAELI_RED_LABEL_1_SUGAR | pen-5:MULTIPLE_ADDED_SUGAR_MARKERS | pen-5:HIGH_CAL_HIGH_SUGAR_SOFT
313160,עוגיות שוקולד זהבה — אסם,22.0,E,22.0,E,0.0,False,55,3,,biscuit,0,binding_cap=55 | cap:HIGH_CAL_HIGH_SUGAR_MODERATE | cap:ISRAELI_RED_LABEL_1_SUGAR | pen-5:MULTIPLE_ADDED_SUGAR_MARKERS | pen-5:HIGH_CAL_HIGH_SUGAR_SOFT
313184,עוגיות גן חיות טעם וניל,33.3,E,35.3,D,2.0,True,72,4,,biscuit,0,binding_cap=72 | cap:NOVA_PROXY_4_ULTRA_PROCESSED | cap:ADDITIVE_MARKERS_3_PLUS | pen-5:MULTIPLE_ADDED_SUGAR_MARKERS | pen-5:HIGH_CAL_HIGH_SUGAR_SOFT
4006529002170,עוגיות גולד רינג 400 גרם ללא מיתוג,21.8,E,21.8,E,0.0,False,45,3,,biscuit,0,binding_cap=45 | cap:HIGH_CAL_HIGH_SUGAR_MODERATE | cap:ISRAELI_RED_LABEL_1_SUGAR | pen-5:HIGH_CAL_HIGH_SUGAR_SOFT | pen-6:HIGH_CAL_LOW_SATIETY_SOFT
4017100198151,עוגיות היט בטעם וניל 220 גרם בלזן,15.5,E,15.5,E,0.0,False,45,4,,biscuit,0,binding_cap=45 | cap:HIGH_CAL_HIGH_SUGAR_SEVERE | cap:HIGH_CAL_HIGH_SUGAR_MODERATE | pen-5:MULTIPLE_ADDED_SUGAR_MARKERS | pen-5:HIGH_CAL_HIGH_SUGAR_SOFT
4017100364112,עוגיות היט בטעם שוקולד 220 גרם בלזן,16.6,E,16.6,E,0.0,False,45,4,,biscuit,0,binding_cap=45 | cap:HIGH_CAL_HIGH_SUGAR_SEVERE | cap:HIGH_CAL_HIGH_SUGAR_MODERATE | pen-5:HIGH_CAL_HIGH_SUGAR_SOFT | pen-6:HIGH_CAL_LOW_SATIETY_SOFT
46214731552,עוגיות שוקולד צ'יפס,16.7,E,16.7,E,0.0,False,45,3,,biscuit,0,binding_cap=45 | cap:HIGH_CAL_HIGH_SUGAR_SEVERE | cap:HIGH_CAL_HIGH_SUGAR_MODERATE | pen-5:MULTIPLE_ADDED_SUGAR_MARKERS | pen-5:HIGH_CAL_HIGH_SUGAR_SOFT
46214930207,עוגיות שוקולד צ'יפס,15.3,E,14.5,E,-0.8,False,45,4,,snack_bar_granola,0,binding_cap=45 | cap:HIGH_CAL_HIGH_SUGAR_MODERATE | cap:HIGH_SUGAR_25G_PLUS | pen-5:MULTIPLE_ADDED_SUGAR_MARKERS | pen-5:HIGH_CAL_HIGH_SUGAR_SOFT
4820180816552,עוגיות עם ש.שועל קוקוס — PASTICERE,16.6,E,16.6,E,0.0,False,45,3,,biscuit,0,binding_cap=45 | cap:HIGH_CAL_HIGH_SUGAR_MODERATE | cap:HIGH_SUGAR_25G_PLUS | pen-5:MULTIPLE_ADDED_SUGAR_MARKERS | pen-5:HIGH_CAL_HIGH_SUGAR_SOFT
4820180816576,עוגיות עם שבבי קוקוס — PASTICERE,24.0,E,24.0,E,0.0,False,45,3,,biscuit,0,binding_cap=45 | cap:HIGH_CAL_HIGH_SUGAR_MODERATE | cap:ISRAELI_RED_LABEL_1_SUGAR | pen-5:MULTIPLE_ADDED_SUGAR_MARKERS | pen-5:HIGH_CAL_HIGH_SUGAR_SOFT
4820180816590,עוגיות עם גרעיני חמנייה — PASTICERE,24.0,E,24.0,E,0.0,False,45,3,,biscuit,0,binding_cap=45 | cap:HIGH_CAL_HIGH_SUGAR_SEVERE | cap:HIGH_CAL_HIGH_SUGAR_MODERATE | pen-5:MULTIPLE_ADDED_SUGAR_MARKERS | pen-5:HIGH_CAL_HIGH_SUGAR_SOFT
4823077614675,ביסקוויט לקפה בטעם חלב — ROSHEN,17.6,E,17.6,E,0.0,False,45,4,,biscuit,0,binding_cap=45 | cap:ISRAELI_RED_LABEL_1_SUGAR | cap:ISRAELI_RED_LABELS_2_PLUS | pen-5:HIGH_CAL_HIGH_SUGAR_SOFT | pen-6:HIGH_CAL_LOW_SATIETY_SOFT
