barcode,name,shelf,off_category,off_score,off_grade,on_category,on_score,on_grade,score_delta,cat_changed,grade_changed,score_changed
1343845,גרנולה עם פירות,granola,,,,,,,0.0,False,False,False
1361177,עוגת פס דובדבנים,cakes_hard_cookies,default,15.9,E,default,15.9,E,0.0,False,False,False
1361207,עוגת פס אוכמניות,cakes_hard_cookies,default,23.8,E,default,23.8,E,0.0,False,False,False
16000423534,חטיף שיבולת שועל+שוקולד,snacks,snack_bar_granola,35.6,D,snack_bar_granola,35.6,D,0.0,False,False,False
16000548404,חטיף שיבולת שועל עם דבש,snacks,cereal,34.6,E,cereal,34.6,E,0.0,False,False,False
16000548503,חטיף שיבולת שועל+מייפל,snacks,cereal,34.6,E,cereal,34.6,E,0.0,False,False,False
1902325,חלה קלועה,bread,whole_food_fat,54.5,C,whole_food_fat,54.5,C,0.0,False,False,False
2079033,לחם דגנים לייט,bread,bread,75.8,B,bread,75.8,B,0.0,False,False,False
2079217,לחם מחמצת שיפון+אגוזים,bread,bread,63.1,C,bread,63.1,C,0.0,False,False,False
2079477,לחם אחיד פרוס,bread,bread,68.7,B,bread,68.7,B,0.0,False,False,False
2079927,לחם דגנים מלא,bread,bread,76.2,B,bread,76.2,B,0.0,False,False,False
2079996,לחם אחיד פרוס קל,bread,bread,75.3,B,bread,75.3,B,0.0,False,False,False
2107798,בולגרית מעודנת 5% — משק צוריאל,brined_cheeses,dairy_protein,69.8,B,dairy_protein,69.8,B,0.0,False,False,False
2133162,גבינה בולגרית 5% שומן — מחלבת רמת הגולן,brined_cheeses,dairy_protein,72.0,B,dairy_protein,72.0,B,0.0,False,False,False
2133889,בולגרית מעודנת 5% שומן — מחלבת רמת הגולן,brined_cheeses,dairy_protein,67.6,B,dairy_protein,67.6,B,0.0,False,False,False
2472087,עוגת פס שוקולד,cakes_hard_cookies,snack_bar_granola,10,E,snack_bar_granola,10,E,0.0,False,False,False
2472117,עוגת פס קפוצ'ינו,cakes_hard_cookies,dessert,10,E,dessert,10,E,0.0,False,False,False
2472148,עוגת פס היער השחור,cakes_hard_cookies,dessert,10,E,dessert,10,E,0.0,False,False,False
2472186,עוגת מאפין וניל,cakes_hard_cookies,whole_food_fat,22.1,E,whole_food_fat,22.1,E,0.0,False,False,False
2472193,עוגת מאפין שוקולד,cakes_hard_cookies,snack_bar_granola,17.0,E,snack_bar_granola,17.0,E,0.0,False,False,False
2472223,עוגת מאפין תפוז — שופרסל,cakes_hard_cookies,whole_food_fat,12.2,E,whole_food_fat,12.2,E,0.0,False,False,False
2472254,עוגת מאפין אגוזים — שופרסל,cakes_hard_cookies,whole_food_fat,24.1,E,whole_food_fat,24.1,E,0.0,False,False,False
