barcode,name,old_score,new_score,score_delta,old_grade,new_grade,grade_moved,d4_penalty
313184,עוגיות גן חיות טעם וניל,35.3,33.3,-2.0,D,E,True,2
7290018893845,פתי בר בטעם חמאה,36.4,34.4,-2.0,D,E,True,2
7290119040179,עוגיות פרח עם ריבת תות,12.5,8.5,-4.0,E,E,False,4
7290119040605,עוגיות נסיכה בטעם תות,15.2,11.2,-4.0,E,E,False,4
7290119040650,עוגיות נסיכה מיקס,15.2,11.2,-4.0,E,E,False,4
7290119043897,עוגיות רולדה תמרים,17.4,13.4,-4.0,E,E,False,4
5317194,ביסקוויט בטעם וניל הדר,37.8,35.8,-2.0,D,D,False,2
7290011489625,ביסקוויט בטעם שוקו,37.7,35.7,-2.0,D,D,False,2
7290013740472,עוגיות מושלגות,45.6,43.6,-2.0,D,D,False,2
7290017724171,מארז עוגיות אקלר סנדוויץ ריבה ללא סוכר הללס | 250 גרם ‏23.90,24.2,22.2,-2.0,E,E,False,2
7290019293804,קראנץ אגוזי לוז,33.1,31.1,-2.0,E,E,False,2
7290019816034,מאגדת מיני קראנץ עוגיות,29.1,27.1,-2.0,E,E,False,2
7290019816058,קראנץ מיני אלפחורס,12.6,10.6,-2.0,E,E,False,2
7290101111986,עינוגים קוקיס עוגיות,12.1,10.1,-2.0,E,E,False,2
7290109354972,פתי בר ללא גלוטן קלאסי,10,8,-2,E,E,False,2
7290109354996,פתי בר ללא גלוטן שוקו,10.7,8.7,-2.0,E,E,False,2
7290118422617,קרמוגית קראנץ קרם וניל עוגיות 200 גרם קרמוגית | 200 גרם 2 יח,33.7,31.7,-2.0,E,E,False,2
7290118423904,קרמוגית קראנץ שוקו וניל עוגיות 200 גרם קרמוגית | 200 גרם 2 י,34.2,32.2,-2.0,E,E,False,2
7290119041053,עוגיות סגנון מרוקאי,37.6,35.6,-2.0,D,D,False,2
7290119041107,עוגיות מרוקאיות עגול,37.6,35.6,-2.0,D,D,False,2
7290119041152,עוגיות ריפ'את,37.6,35.6,-2.0,D,D,False,2
7290123330488,"עוגיות בוטנים כשל""פ",23.3,21.3,-2.0,E,E,False,2
7290019816232,קראנץ סנדויץ שוקולד,15.0,13.1,-1.9,E,E,False,2
46214930207,עוגיות שוקולד צ'יפס,14.5,15.8,1.3,E,E,False,0
2986058,פתי בר וניל,35.5,35.5,0.0,D,D,False,0
2986065,פתי בר בטעם שוקולד,35.8,35.8,0.0,D,D,False,0
311128,עוגיות בטעם חמאה,18.0,18.0,0.0,E,E,False,0
311463,"עוגיות חמאה ללת""ס",45.2,45.2,0.0,D,D,False,0
311708,עוגיות מחיטה מלאה מן,23.0,23.0,0.0,E,E,False,0
313160,עוגיות שוקולד זהבה,22.0,22.0,0.0,E,E,False,0
4006529002170,עוגיות גולד רינג 400 גרם ללא מיתוג | 400 גרם ‏10.90 ‏₪ ‏2.73,21.8,21.8,0.0,E,E,False,0
4017100198151,עוגיות היט בטעם וניל 220 גרם בלזן | 220 גרם ‏10.90 ‏₪ ‏4.95,15.5,15.5,0.0,E,E,False,0
4017100364112,עוגיות היט בטעם שוקולד 220 גרם בלזן | 220 גרם ‏10.90 ‏₪ ‏4.9,16.6,16.6,0.0,E,E,False,0
46214731552,עוגיות שוקולד צ'יפס,16.7,16.7,0.0,E,E,False,0
4820180816552,עוגיות עם ש.שועל קוקוס,16.6,16.6,0.0,E,E,False,0
4820180816576,עוגיות עם שבבי קוקוס,24.0,24.0,0.0,E,E,False,0
4820180816590,עוגיות עם גרעיני חמנייה,24.0,24.0,0.0,E,E,False,0
4823077614675,ביסקוויט לקפה בטעם חלב,17.6,17.6,0.0,E,E,False,0
4823077614699,ביסקוויט לקפה בטעם חמאה,26.0,26.0,0.0,E,E,False,0
4823077633317,עוגיות LOVITA שוקולד,24.3,24.3,0.0,E,E,False,0
540160,"עוגיות ללת""ס מקמח מלא",51.5,51.5,0.0,C,C,False,0
5410126006049,ביסקוויט לוטוס טעם קרמל,18.4,18.4,0.0,E,E,False,0
5410126116168,ביסקוויט בטעם קרמל,18.4,18.4,0.0,E,E,False,0
5410126726244,ביסקוויט קרמל,18.4,18.4,0.0,E,E,False,0
5410126806250,עוגיות לוטוס,18.4,18.4,0.0,E,E,False,0
5901414200411,עוגיות היט מיניס עם שוקולד 130 גרם בלזן | 130 גרם ‏8.90 ‏₪ ‏,15.8,15.8,0.0,E,E,False,0
61245,עוגיות שוקוציפס+שוקולד,15.6,15.6,0.0,E,E,False,0
7290000061245,עוגיות שוקוצ'יפס ממולאות 220 גרם אסם | 220 גרם 2 יח' ב- ‏16,37.4,37.4,0.0,D,D,False,0
7290000075143,עוגיות שוקוצ'יפס קלאסי 200 גרם אסם | 200 גרם 2 יח' ב- ‏16 ₪,14.6,14.6,0.0,E,E,False,0
7290013156006,עוגיות מיני מרוקאיות 350 גרם בבקה | 350 גרם ‏16.90 ‏₪ ‏4.83,36.2,36.2,0.0,D,D,False,0
7290013156921,עוגיות אצבעות מתוקות ללא סוכר גאקובס 350 גרם ג'ייקוב אנד אס,40.0,40.0,0.0,D,D,False,0
7290013453068,עוגיות כוסמין פירות יער,52.0,52.0,0.0,C,C,False,0
7290013453501,ביסקוטי כוסמין שוקולד,43.3,43.3,0.0,D,D,False,0
7290013453693,"עוגיות גרידת לימון ללת""ס",59.8,59.8,0.0,C,C,False,0
7290013740014,עוגיות שוקוצ'יפס,37.0,37.0,0.0,D,D,False,0
7290013740052,עוגיות פרחי ריבה,44.7,44.7,0.0,D,D,False,0
7290013740113,עוגיות מרוקאיות,52.9,52.9,0.0,C,C,False,0
7290013740137,עוגיות אוזן פיל,50.4,50.4,0.0,C,C,False,0
7290013740229,עוגיות פרסות שקדים,46.1,46.1,0.0,D,D,False,0
7290013740342,"עוגיות פרחי ריבה ללת""ס",42.9,42.9,0.0,D,D,False,0
7290013740465,עוגיות שושנים,43.3,43.3,0.0,D,D,False,0
7290013740540,"עוגיות אוזן פיל ללת""ס",44.7,44.7,0.0,D,D,False,0
7290013740557,עוגיות רייפעת,48.5,48.5,0.0,D,D,False,0
7290013740694,עוגיות אלפחורס,29.5,29.5,0.0,E,E,False,0
7290017894317,עוגיות כוסמין מלא שוקולד,36.1,36.1,0.0,D,D,False,0
7290017898506,ביסקוטי,38.3,38.3,0.0,D,D,False,0
7290017962139,"עוגיות פירות יער כשל""פ",54.9,54.9,0.0,C,C,False,0
7290018371923,פתי בר קמח מלא אורגני,29.0,29.0,0.0,E,E,False,0
7290018371930,פתי בר קמח כוסמין אורגני,29.0,29.0,0.0,E,E,False,0
7290018371947,פתי בר כוסמין,27.0,27.0,0.0,E,E,False,0
7290018893036,עוגיות סנדוויץ' שוקולד,19.5,19.5,0.0,E,E,False,0
7290019870463,עוגיות סנדוויץ עם קרם בטעם וניל צ'וקטה 176 גרם צ'וקטה | 176,15.2,15.2,0.0,E,E,False,0
7290019870470,עוגיות סנדוויץ עם קרם בטעם שוקו צ'וקטה 176 גרם צ'וקטה | 176,26.1,26.1,0.0,E,E,False,0
7290020030184,עוגיות מזרחיות עם זעתר 400 גרם אחוה | 400 גרם 2 יח' ב- ‏18 ₪,54.0,54.0,0.0,C,C,False,0
7290105364784,פרה קראנץ' שוקולד לבן פרה | 100 גרם ‏8.50 ‏₪ ‏8.50 ‏₪ / 100,18.4,18.4,0.0,E,E,False,0
7290106571921,עוגיות פיטנס חמוציות 180 גרם פיטנס | 180 גרם ‏12.90 ‏₪ ‏7.17,28.0,28.0,0.0,E,E,False,0
7290106571945,עוגיות קקאו דגנים מלאים עם נטיפי שוקולד מריר פיטנס 180 גרם פ,32.2,32.2,0.0,E,E,False,0
7290106656727,עוגיות חיוכים שוקולד,15.4,15.4,0.0,E,E,False,0
7290112340276,עוגיות קרם קפה נמס 200 גרם עלית | 200 גרם ‏13.50 ‏₪ ‏6.75 ‏₪,15.1,15.1,0.0,E,E,False,0
7290112961754,עוגיות שוקוציפס קרם אגוז,17.3,17.3,0.0,E,E,False,0
7290115206333,עוגיות מיני שוקוצ'יפס,14.8,14.8,0.0,E,E,False,0
7290118426615,עוגיות מיני שוקולד,27.1,27.1,0.0,E,E,False,0
7290119040803,עוגיות קינמון מסוכרות,19.8,19.8,0.0,E,E,False,0
7290119040858,עוגיות מקלות עלים,19.8,19.8,0.0,E,E,False,0
7290119041206,עוגיות קוואקר,21.5,21.5,0.0,E,E,False,0
7290119041350,"עוגיות קוואקר ללת""ס",21.5,21.5,0.0,E,E,False,0
7290119043095,עוגיות שיבולת שועל,21.5,21.5,0.0,E,E,False,0
7290119043149,עוגיות בטעם חמאה,55.0,55.0,0.0,C,C,False,0
7290119043743,עוגיות מרוקאיות,48.7,48.7,0.0,D,D,False,0
7290119043798,עוגיות אוזניות,26.7,26.7,0.0,E,E,False,0
7290122781359,מיני עוגיות קלאסי פיטנס 80 גרם פיטנס | 80 גרם ‏5.90 ‏₪ ‏7.38,53.4,53.4,0.0,C,C,False,0
7296073161981,עוגיות במילוי קרם שוקולד,15.7,15.7,0.0,E,E,False,0
7296073162001,עוגיות במילוי קרם אגוזים,20.7,20.7,0.0,E,E,False,0
7296073453840,קוקיס שבבי שוקולד חלבי,33.1,33.1,0.0,E,E,False,0
7296073453857,קוקיס שוקולד לבן חלבי,32.7,32.7,0.0,E,E,False,0
7296073529019,קוקיס שוקולד מריר חלבי,16.7,16.7,0.0,E,E,False,0
7296073529026,קוקיס שוקו+שבבי שוקולד,16.7,16.7,0.0,E,E,False,0
7296073659969,עוגיות חיות שוקו,15.2,15.2,0.0,E,E,False,0
74184,פתי בר קלאסי,21.4,21.4,0.0,E,E,False,0
7622201401900,עוגיות מילקה סנסיישן אוראו 156 גרם מילקה | 156 גרם 2 יח' ב-,15.2,15.2,0.0,E,E,False,0
7622201809188,ביסקוויט מילקה,14.0,14.0,0.0,E,E,False,0
7622210137234,עוגיות אוראו דאבל קרם וניל אוראו | 170 גרם 2 יח' ב- ‏18 ₪ ‏1,16.0,16.0,0.0,E,E,False,0
7622210453327,עוגיות מילקה סנסיישן 156 גרם מילקה | 156 גרם 2 יח' ב- ‏28 ₪,10.5,10.5,0.0,E,E,False,0
7622300356767,עוגיות שוקולד צ'יפס,15.8,15.8,0.0,E,E,False,0
7622300489427,עוגיות אוראו בציפוי שוקולד לבן 246 גרם אוראו | 246 גרם במבצע,16.5,16.5,0.0,E,E,False,0
7622300489434,עוגיות אוראו בציפוי שוקולד חלב 246 גרם אוראו | 246 גרם במבצע,15.3,15.3,0.0,E,E,False,0
8000500366073,ביסקוויט נוטלה,16.2,16.2,0.0,E,E,False,0
80083665,עוגיות אורגניות+שוקולד,26.7,26.7,0.0,E,E,False,0
80083764,עוגיות דגנים עם ש.שועל,55.0,55.0,0.0,C,C,False,0
8008698037171,עוגיות חמאה ללא גלוטן,22.8,22.8,0.0,E,E,False,0
8410376037784,עוגיות סנדוויץ' שוקולד גולון | 250 גרם ‏13.00 ‏₪ ‏5.20 ‏₪ /,30.1,30.1,0.0,E,E,False,0
8410376075915,"עוגיות+שבבי שוקולד לל""ג",27.6,27.6,0.0,E,E,False,0
8710502064814,עוגיות שוקוצ'יפס מרקם רך,11.2,11.2,0.0,E,E,False,0
8710502139017,מרבה עוגיות טריפל שוקולד ציפס מרבה | 180 גרם במבצע ‏7.90 ₪ ‏,18.1,18.1,0.0,E,E,False,0
8710502279010,עוג. שוקולד צ'יפס מצופות,17.7,17.7,0.0,E,E,False,0
8710502405204,מרבה עוגיות ממולאות קרם שוקולד מרבה | 225 גרם במבצע ‏7.90 ₪,17.4,17.4,0.0,E,E,False,0
8710502470028,עוגיות שוקוצ'יפס נוגטלי,15.5,15.5,0.0,E,E,False,0
960860015432,"עוגיות ללת""ס מקמח מלא",46.0,46.0,0.0,D,D,False,0
99804,עוגיות שוקולד לבן חלבי,16.9,16.9,0.0,E,E,False,0
