approved_for_scrape,suggested_decision,decision_reason,barcode,name,brand,query,card_text,image_alt,image_url_raw
NO,YES,positive_cheese_type,7290102394463,פרוסות גבינה צהובה חצי קשה 28% נעם 500 גרם,,גבינה צהובה,"פרוסות גבינה צהובה חצי קשה 28% נעם 500 גרם
טרה | 500 גרם
‏30.90 ‏₪
‏6.18 ‏₪ / 100 גרם",פרוסות גבינה צהובה חצי קשה 28% נעם 500 גרם,"https://yochananof.co.il/_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F729010239446303-16-2023_08-58-08.jpg&w=256&q=75 /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F729010239446303-16-2023_08-58-08.jpg&w=256&q=75 1x, /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F729010239446303-16-2023_08-58-08.jpg&w=384&q=75 2x"
NO,YES,positive_cheese_type,7290102396672,פרוסות גבינה צהובה חצי קשה דקה 9% נעם 360 גרם,,גבינה צהובה,"פרוסות גבינה צהובה חצי קשה דקה 9% נעם 360 גרם
טרה | 360 גרם
‏30.50 ‏₪
‏8.47 ‏₪ / 100 גרם",פרוסות גבינה צהובה חצי קשה דקה 9% נעם 360 גרם,"https://yochananof.co.il/_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F729010239667201-28-2024_09-38-24.jpg&w=256&q=75 /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F729010239667201-28-2024_09-38-24.jpg&w=256&q=75 1x, /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F729010239667201-28-2024_09-38-24.jpg&w=384&q=75 2x"
NO,YES,positive_cheese_type,7290102396665,פרוסות גבינה צהובה חצי קשה דקה 15% נעם 200 גרם,,גבינה צהובה,"פרוסות גבינה צהובה חצי קשה דקה 15% נעם 200 גרם
טרה | 200 גרם
‏18.90 ‏₪
‏9.45 ‏₪ / 100 גרם",פרוסות גבינה צהובה חצי קשה דקה 15% נעם 200 גרם,"https://yochananof.co.il/_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F729010239666501-28-2024_09-34-52.jpg&w=256&q=75 /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F729010239666501-28-2024_09-34-52.jpg&w=256&q=75 1x, /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F729010239666501-28-2024_09-34-52.jpg&w=384&q=75 2x"
NO,YES,positive_cheese_type,7290110324872,פרוסות גבינת גלבוע 5% 200 גרם,,גבינה צהובה,"פרוסות גבינת גלבוע 5% 200 גרם
גלבוע | 200 גרם
‏19.30 ‏₪
‏9.65 ‏₪ / 100 גרם
פרוסות גבינת עמק דק 28% 200 גרם
עמק | 200 גרם
‏18.90 ‏₪
‏9.45 ‏₪ / 100 גרם
פרוסות גבינה צהובה חצי קשה דקה 9% נעם 200 גרם
טרה | 200 גרם
‏19.90 ‏₪
‏9.95 ‏₪ / 100 גרם
צהובה מעושנת 22% א.ח.נוכרי
מעדניה חלבית | 1000 גרם
‏47.00 ‏₪
‏4.70 ‏₪ / 100 גרם
פרוסות גבינת עמק 28% בקופסא 200 גרם
עמק | 200 גרם
‏18.90 ‏₪
‏9.45 ‏₪ / 100 גרם",פרוסות גבינת גלבוע 5% 200 גרם,"https://yochananof.co.il/_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F7290110324872_s1_1501-20-2021_15-46-37.jpg&w=256&q=75 /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F7290110324872_s1_1501-20-2021_15-46-37.jpg&w=256&q=75 1x, /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F7290110324872_s1_1501-20-2021_15-46-37.jpg&w=384&q=75 2x"
NO,YES,positive_cheese_type,7290102394845,פרוסות גבינה צהובה חצי קשה דקה 9% נעם 200 גרם,,גבינה צהובה,"פרוסות גבינה צהובה חצי קשה דקה 9% נעם 200 גרם
טרה | 200 גרם
‏19.90 ‏₪
‏9.95 ‏₪ / 100 גרם",פרוסות גבינה צהובה חצי קשה דקה 9% נעם 200 גרם,"https://yochananof.co.il/_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F729010239484501-28-2024_09-24-19.jpg&w=256&q=75 /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F729010239484501-28-2024_09-24-19.jpg&w=256&q=75 1x, /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F729010239484501-28-2024_09-24-19.jpg&w=384&q=75 2x"
NO,YES,positive_cheese_type,7290110323301,פרוסות גבינת טל העמק 32% בסגנון אמנטל 200 גרם,,גבינה צהובה,"פרוסות גבינת טל העמק 32% בסגנון אמנטל 200 גרם
עמק | 200 גרם
‏21.90 ‏₪
‏10.95 ‏₪ / 100 גרם",פרוסות גבינת טל העמק 32% בסגנון אמנטל 200 גרם,"https://yochananof.co.il/_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F7290110323301_s1_1502-09-2026_17-14-44.jpg&w=256&q=75 /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F7290110323301_s1_1502-09-2026_17-14-44.jpg&w=256&q=75 1x, /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F7290110323301_s1_1502-09-2026_17-14-44.jpg&w=384&q=75 2x"
NO,YES,positive_cheese_type,7290102394821,פרוסות גבינה צהובה חצי קשה דקה 28% נעם 200 גרם,,גבינה צהובה,"פרוסות גבינה צהובה חצי קשה דקה 28% נעם 200 גרם
טרה | 200 גרם
‏18.90 ‏₪
‏9.45 ‏₪ / 100 גרם",פרוסות גבינה צהובה חצי קשה דקה 28% נעם 200 גרם,"https://yochananof.co.il/_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F729010239482101-28-2024_09-19-25.jpg&w=256&q=75 /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F729010239482101-28-2024_09-19-25.jpg&w=256&q=75 1x, /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F729010239482101-28-2024_09-19-25.jpg&w=384&q=75 2x"
NO,YES,positive_cheese_type,7290102397204,פרוסות גבינה צהובה חצי קשה דקה 22% נעם 200 גרם,,גבינה צהובה,"פרוסות גבינה צהובה חצי קשה דקה 22% נעם 200 גרם
טרה | 200 גרם
‏18.90 ‏₪
‏9.45 ‏₪ / 100 גרם",פרוסות גבינה צהובה חצי קשה דקה 22% נעם 200 גרם,"https://yochananof.co.il/_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F729010239720401-28-2024_09-42-17.jpg&w=256&q=75 /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F729010239720401-28-2024_09-42-17.jpg&w=256&q=75 1x, /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F729010239720401-28-2024_09-42-17.jpg&w=384&q=75 2x"
NO,YES,positive_cheese_type,,גבינה קשה טל העמק 32% שומן,,גבינה צהובה,"גבינה קשה טל העמק 32% שומן
מעדניה חלבית | 1000 גרם
‏74.00 ‏₪
‏7.40 ‏₪ / 100 גרם",גבינה קשה טל העמק 32%  שומן,"https://yochananof.co.il/_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F5%2F3%2F53219.jpg&w=256&q=75 /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F5%2F3%2F53219.jpg&w=256&q=75 1x, /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F5%2F3%2F53219.jpg&w=384&q=75 2x"
NO,YES,positive_cheese_type,,גבינה קשה פרמזן 23% שומן,,גבינה צהובה,"גבינה קשה פרמזן 23% שומן
מעדניה חלבית | 1000 גרם
‏135.00 ‏₪
‏13.50 ‏₪ / 100 גרם",גבינה קשה פרמזן       23% שומן,"https://yochananof.co.il/_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F4%2F6%2F46563.jpg&w=256&q=75 /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F4%2F6%2F46563.jpg&w=256&q=75 1x, /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F4%2F6%2F46563.jpg&w=384&q=75 2x"
