barcode,sub_pool,sugars_g,flag_off_score,flag_off_grade,flag_on_score,flag_on_grade,clean_delta,ev091_floor_applied,sr_penalty,category
7290004658847,juice_100,16.8,45.8,D,39.8,D,-6.0,None,6,beverage
7290017812588,juice_100,16.8,45.8,D,39.8,D,-6.0,None,6,beverage
7290017812618,juice_100,16.8,45.8,D,39.8,D,-6.0,None,6,beverage
7290017812571,juice_100,15.8,45.3,D,41.3,D,-4.0,None,4,beverage
3168930010108,juice_100,14.2,47.2,D,43.2,D,-4.0,None,4,beverage
7290000039459,juice_100,14.2,47.2,D,43.2,D,-4.0,None,4,beverage
7290000052091,juice_100,14.2,47.2,D,43.2,D,-4.0,None,4,beverage
7290008836494,juice_100,14.2,47.2,D,43.2,D,-4.0,None,4,beverage
7290015348423,juice_100,14.2,47.2,D,43.2,D,-4.0,None,4,beverage
7290002696074,nectar,13.8,53.6,C,49.6,D,-4.0,None,4,default
7290107020222,nectar,13.8,53.6,C,49.6,D,-4.0,None,4,default
7290002696081,nectar,12.9,53.4,C,51.4,C,-2.0,None,2,default
7290002696050,nectar,12.4,55.0,C,53.0,C,-2.0,None,2,default
7290002696098,nectar,12.3,54.0,C,53.0,C,-1.0,None,1,default
7290005788215,nectar,12.3,54.0,C,53.0,C,-1.0,None,1,default
7290002696043,nectar,12.2,54.8,C,53.8,C,-1.0,None,1,default
7290012404955,nectar,12.2,46.4,D,45.4,D,-1.0,None,1,beverage
7290016682397,juice_100,12.2,46.4,D,45.4,D,-1.0,None,1,beverage
7290002696067,nectar,11.8,54.5,C,53.5,C,-1.0,None,1,default
7290000118276,fruit_drink,11.6,46.6,D,45.6,D,-1.0,None,1,beverage
7290000118283,fruit_drink,11.6,46.6,D,45.6,D,-1.0,None,1,beverage
7290000118290,fruit_drink,11.6,46.6,D,45.6,D,-1.0,None,1,beverage
7290107020239,fruit_drink,11.6,46.6,D,45.6,D,-1.0,None,1,beverage
7290017894591,juice_100,11.1,47.0,D,46.0,D,-1.0,None,1,beverage
7290008757386,juice_100,10.4,50.0,C,50.0,C,0.0,None,None,beverage
7290001247068,nectar,9.8,52.4,C,52.4,C,0.0,None,None,default
5449000133489,nectar,9.6,54.0,C,54.0,C,0.0,None,None,default
7290000039442,juice_100,9.6,48.0,D,48.0,D,0.0,None,None,beverage
7290000052077,juice_100,9.6,48.0,D,48.0,D,0.0,None,None,beverage
7290010069025,juice_100,9.6,48.0,D,48.0,D,0.0,None,None,beverage
7290013190421,smoothie,9.5,51.7,C,51.7,C,0.0,None,None,beverage
7290013190438,smoothie,9.5,57.7,C,57.7,C,0.0,None,None,default
7290013190445,smoothie,9.5,57.7,C,57.7,C,0.0,None,None,default
7290000039497,juice_100,9.4,48.8,D,48.8,D,0.0,None,None,beverage
7290000039510,juice_100,9.4,48.8,D,48.8,D,0.0,None,None,beverage
7290002404972,juice_100,9.4,48.8,D,48.8,D,0.0,None,None,beverage
7290005788208,juice_100,9.4,48.8,D,48.8,D,0.0,None,None,beverage
7290006696717,juice_100,9.4,54.1,C,54.1,C,0.0,None,None,dessert
7290013153395,juice_100,9.4,54.8,C,54.8,C,0.0,None,None,default
7290110114886,juice_100,9.4,54.8,C,54.8,C,0.0,None,None,default
7290001247143,nectar,8.7,53.4,C,53.4,C,0.0,None,None,default
7290017894607,cold_pressed,8.6,57.3,C,57.3,C,0.0,None,None,beverage
7290017894621,cold_pressed,8.6,57.3,C,57.3,C,0.0,None,None,beverage
7290110114893,juice_100,8.6,55.2,C,55.2,C,0.0,None,None,default
7290000039503,juice_100,8.5,52.0,C,52.0,C,0.0,None,None,beverage
0012000163356,juice_100,8.4,52.9,C,52.9,C,0.0,None,None,beverage
0012000163370,juice_100,8.4,52.9,C,52.9,C,0.0,None,None,beverage
0012000167477,nectar,8.4,55.9,C,55.9,C,0.0,None,None,default
3168930010085,juice_100,8.4,52.9,C,52.9,C,0.0,None,None,beverage
3168930010092,nectar,8.4,55.9,C,55.9,C,0.0,None,None,default
5449000145482,juice_100,8.4,52.9,C,52.9,C,0.0,None,None,beverage
7290000039435,juice_100,8.4,52.9,C,52.9,C,0.0,None,None,beverage
7290000052060,juice_100,8.4,52.9,C,52.9,C,0.0,None,None,beverage
7290000052114,nectar,8.4,55.9,C,55.9,C,0.0,None,None,default
7290010069018,juice_100,8.4,52.9,C,52.9,C,0.0,None,None,beverage
7290107020215,juice_100,8.4,52.9,C,52.9,C,0.0,None,None,beverage
7290000525969,juice_100,8.2,49.3,D,49.3,D,0.0,None,None,beverage
7290017894614,cold_pressed,7.8,51.5,C,52.5,C,1.0,None,-1,beverage
7290003009640,juice_100,7.6,85,A,85,A,0,None,-1,beverage
7290000209043,juice_100,2.5,56.5,C,58.5,C,2.0,None,-2,beverage
7290002263586,juice_100,2.5,56.5,C,58.5,C,2.0,None,-2,beverage
7290002263661,juice_100,2.5,56.5,C,58.5,C,2.0,None,-2,beverage
7290003681945,juice_100,2.5,56.5,C,58.5,C,2.0,None,-2,beverage
7290017841588,juice_100,2.5,56.5,C,58.5,C,2.0,None,-2,beverage
7290106668577,juice_100,1.75,52.5,C,54.5,C,2.0,None,-2,beverage
