approved_for_scrape,suggested_decision,decision_reason,barcode,name,brand,query,card_text,image_alt,image_url_raw
NO,YES,positive_juice_type,7290117765630,מיץ תירוש יוחננוף 100% טבעי 1 ל',,מיץ,"מיץ תירוש יוחננוף 100% טבעי 1 ל'
יוחננוף | 1 ליטר
‏15.90 ‏₪
‏15.90 ‏₪ / 1 ליטר",מיץ תירוש יוחננוף 100% טבעי 1 ל',"https://yochananof.co.il/_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F7290117765630_s108-07-2023_14-49-52.jpg&w=256&q=75 /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F7290117765630_s108-07-2023_14-49-52.jpg&w=256&q=75 1x, /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F7290117765630_s108-07-2023_14-49-52.jpg&w=384&q=75 2x"
NO,YES,positive_juice_type,7290019398516,מיץ תירוש יוחננוף 100% טבעי 1 ליטר,,מיץ,"מיץ תירוש יוחננוף 100% טבעי 1 ליטר
יוחננוף | 1 ליטר
‏15.90 ‏₪
‏15.90 ‏₪ / 1 ליטר",מיץ תירוש יוחננוף 100% טבעי 1 ליטר,"https://yochananof.co.il/_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F7290019398516_s1_1504-09-2024_19-10-28.jpg&w=256&q=75 /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F7290019398516_s1_1504-09-2024_19-10-28.jpg&w=256&q=75 1x, /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F7290019398516_s1_1504-09-2024_19-10-28.jpg&w=384&q=75 2x"
NO,YES,positive_juice_type,7290019056591,ספרינג ענבים 1.5 ליטר,,מיץ,"ספרינג ענבים 1.5 ליטר
ספרינג | 1.5 ליטר
3 יח' ב- ‏16 ₪
‏7.30 ‏₪
‏4.87 ‏₪ / 1 ליטר
משקה סויה מועשר
תנובה אלטרנטיב | 1 ליטר
‏10.60 ‏₪
‏10.60 ‏₪ / 1 ליטר
משקה אנרגיה בלו מוחיטו
Blu | 250 מ""ל
4 יח' ב- ‏12 ₪
‏3.90 ‏₪
‏1.56 ‏₪ / 100 מ""ל
מיץ לימון משומר עסיס 1 ליטר
עסיס | 1 ליטר
‏8.90 ‏₪
‏8.90 ‏₪ / 1 ליטר
רד בול משקה אנרגיה 250 מ""ל
רד בול | 250 מ""ל
4 יח' ב- ‏19 ₪
‏5.90 ‏₪
‏2.36 ‏₪ / 100 מ""ל",ספרינג ענבים 1.5 ליטר,"https://yochananof.co.il/_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F7290019056591_s1_1502-22-2021_15-41-00.jpg&w=256&q=75 /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F7290019056591_s1_1502-22-2021_15-41-00.jpg&w=256&q=75 1x, /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F7290019056591_s1_1502-22-2021_15-41-00.jpg&w=384&q=75 2x"
NO,YES,positive_juice_type,7290000272696,מיץ לימון משומר עסיס 1 ליטר,,מיץ,"מיץ לימון משומר עסיס 1 ליטר
עסיס | 1 ליטר
‏8.90 ‏₪
‏8.90 ‏₪ / 1 ליטר",מיץ לימון משומר עסיס 1 ליטר,"https://yochananof.co.il/_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F6%2F9%2F6913127_7290000272696.jpg&w=256&q=75 /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F6%2F9%2F6913127_7290000272696.jpg&w=256&q=75 1x, /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F6%2F9%2F6913127_7290000272696.jpg&w=384&q=75 2x"
NO,YES,positive_juice_type,7290106668577,מיץ לימון טבעי,,מיץ,"מיץ לימון טבעי
יד מרדכי | 250 מ""ל
‏7.90 ‏₪
‏3.16 ‏₪ / 100 מ""ל",מיץ לימון טבעי,"https://yochananof.co.il/_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F3%2F3%2F338684_7290106668577.jpg&w=256&q=75 /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F3%2F3%2F338684_7290106668577.jpg&w=256&q=75 1x, /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F3%2F3%2F338684_7290106668577.jpg&w=384&q=75 2x"
NO,YES,positive_juice_type,7290110558420,אלפרו שיבולת שועל קר,,מיץ,"אלפרו שיבולת שועל קר
אלפרו | 1 ליטר
במבצע ‏9.90 ₪
‏13.90 ‏₪
‏13.90 ‏₪ / 1 ליטר
פרוט ווטר ענבים 1.5 ליטר
פרוט ווטר | 1.5 ליטר
2 יח' ב- ‏13 ₪
‏7.60 ‏₪
‏5.07 ‏₪ / 1 ליטר
מיץ לימון 100% יוחננוף 250 מ""ל
יוחננוף | 250 מ""ל
‏5.90 ‏₪
‏6.90 ‏₪
‏2.36 ‏₪ / 100 מ""ל
משקה יוגורט פרו חלבון תות לל""ס 255 גרם
דנונה | 255 גרם
5 יח' ב- ‏30 ₪
‏7.50 ‏₪
‏2.94 ‏₪ / 100 גרם
פריגת תפוזים 1.5 ליטר
פריגת | 1.5 ליטר
‏8.20 ‏₪
‏5.47 ‏₪ / 1 ליטר",אלפרו שיבולת שועל קר,"https://yochananof.co.il/_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F3%2F6%2F369813_7290110558420.jpg&w=256&q=75 /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F3%2F6%2F369813_7290110558420.jpg&w=256&q=75 1x, /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F3%2F6%2F369813_7290110558420.jpg&w=384&q=75 2x"
NO,YES,positive_juice_type,7290117034774,"מיץ לימון 100% יוחננוף 250 מ""ל",,מיץ,"מיץ לימון 100% יוחננוף 250 מ""ל
יוחננוף | 250 מ""ל
‏5.90 ‏₪
‏6.90 ‏₪
‏2.36 ‏₪ / 100 מ""ל","מיץ לימון 100% יוחננוף 250 מ""ל","https://yochananof.co.il/_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F7290117034774_s103-22-2026_12-11-01.jpg&w=256&q=75 /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F7290117034774_s103-22-2026_12-11-01.jpg&w=256&q=75 1x, /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F7290117034774_s103-22-2026_12-11-01.jpg&w=384&q=75 2x"
NO,YES,positive_juice_type,7290110114893,סחוט תפוז 2 ליטר,,מיץ,"סחוט תפוז 2 ליטר
פריגת | 2 ליטר
‏29.90 ‏₪
‏14.95 ‏₪ / 1 ליטר",סחוט תפוז 2 ליטר,"https://yochananof.co.il/_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F729011011489307-27-2023_11-25-47.jpg&w=256&q=75 /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F729011011489307-27-2023_11-25-47.jpg&w=256&q=75 1x, /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F729011011489307-27-2023_11-25-47.jpg&w=384&q=75 2x"
NO,YES,positive_juice_type,7290000525969,מיץ תפוזים סחוט 1 ליטר,,מיץ,"מיץ תפוזים סחוט 1 ליטר
פרימור | 1 ליטר
2 יח' ב- ‏22 ₪
‏18.90 ‏₪
‏18.90 ‏₪ / 1 ליטר",מיץ תפוזים סחוט 1 ליטר,"https://yochananof.co.il/_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F1%2F4%2F14177791_7290000525969.jpg&w=256&q=75 /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F1%2F4%2F14177791_7290000525969.jpg&w=256&q=75 1x, /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F1%2F4%2F14177791_7290000525969.jpg&w=384&q=75 2x"
NO,YES,positive_juice_type,7290018940761,מיץ תירוש יוחננוף 100% טבעי 1 ליטר,,מיץ,"מיץ תירוש יוחננוף 100% טבעי 1 ליטר
יוחננוף | 1 ליטר
‏15.90 ‏₪
‏15.90 ‏₪ / 1 ליטר",מיץ תירוש יוחננוף 100% טבעי 1 ליטר,"https://yochananof.co.il/_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F7290018940761_s106-15-2025_18-15-15.jpg&w=256&q=75 /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F7290018940761_s106-15-2025_18-15-15.jpg&w=256&q=75 1x, /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F7290018940761_s106-15-2025_18-15-15.jpg&w=384&q=75 2x"
