barcode,bsip_maadanim_subtype,sugars_g,flag_off_score,flag_off_grade,flag_on_score,flag_on_grade,delta,ev092_fired,ev092_maadanim_floor_applied,category
518220,dairy_dessert_generic,97.125,28.5,E,25.5,E,-3.0,True,None,snack_bar_granola
7290011015862,dairy_dessert_generic,85.0,37.7,D,31.7,E,-6.0,True,None,default
7290122782431,pudding_dessert,59.0,28.1,E,22.1,E,-6.0,True,None,dessert
68138,pudding_dessert,58.5,33.2,E,27.2,E,-6.0,True,None,dessert
7290104501661,pudding_dessert,58.3,33.2,E,27.2,E,-6.0,True,None,dessert
67742,pudding_dessert,57.7,33.2,E,27.2,E,-6.0,True,None,dessert
7290112966803,pudding_dessert,54.4,38.8,D,32.8,E,-6.0,True,None,dessert
7290112966827,pudding_dessert,53.5,39.4,D,33.4,E,-6.0,True,None,dessert
5014271300429,dairy_dessert_generic,52.0,42.4,D,36.4,D,-6.0,True,None,dessert
5014271360423,dairy_dessert_generic,52.0,35.2,D,32.2,E,-3.0,True,None,dessert
5014271400426,dairy_dessert_generic,52.0,33.4,E,30.4,E,-3.0,True,None,dessert
7290013144232,pudding_dessert,51.3,20.2,E,14.2,E,-6.0,True,None,dessert
7296073219897,pudding_dessert,51.3,20.2,E,14.2,E,-6.0,True,None,dessert
7290106654099,milky_style,38.0,13.1,E,13.1,E,0.0,True,None,dessert
7290106663121,milky_style,38.0,13.1,E,13.1,E,0.0,True,None,dessert
5811227,dairy_dessert_generic,37.3,42.2,D,36.2,D,-6.0,True,None,snack_bar_granola
7290107957991,milky_style,37.0,13.2,E,13.2,E,0.0,True,None,dessert
5431883,dairy_dessert_generic,26.4,10.9,E,10.8,E,-0.1,True,None,dairy_protein
7290112197573,dairy_dessert_generic,25.0,23.3,E,21.7,E,-1.6,True,None,default
7290112197580,dairy_dessert_generic,25.0,27.4,E,25.8,E,-1.6,True,None,default
7290112197597,dairy_dessert_generic,25.0,23.1,E,21.6,E,-1.5,True,None,default
7290019167112,dairy_dessert_generic,24.0,10,E,10,E,0,True,None,default
7290019167136,dairy_dessert_generic,24.0,10,E,10,E,0,True,None,snack_bar_granola
4820077162441,dairy_dessert_generic,23.2,20.6,E,16.6,E,-4.0,True,None,dessert
7290119041350,dairy_dessert_generic,23.2,19.6,E,19.6,E,0.0,True,None,biscuit
