suggested_decision,decision_reason,barcode,name,brand,query,card_text,image_alt,product_href
YES,olive_oil_signal_match,7290010429554,"שמן זית 2 קלאסי 750 מ""ל",יד מרדכי,שמן זית,"שמן זית 2 קלאסי 750 מ""ל
יד מרדכי | 750 מ""ל
‏39.90 ‏₪
‏5.32 ‏₪ / 100 מ""ל
שמן זית כתית מעולה 750 מ""ל טעם מעודן
זיתא | 750 מ""ל
‏39.90 ‏₪
‏5.32 ‏₪ / 100 מ""ל
שמן זית אליעד 750 מל
אליעד | 750 מ""ל
‏46.90 ‏₪
‏6.25 ‏₪ / 100 מ""ל
שמן זית אליעד 750 מל
אליעד | 750 מ""ל
‏46.90 ‏₪
‏6.25 ‏₪ / 100 מ""ל","שמן זית 2 קלאסי 750 מ""ל",
YES,olive_oil_signal_match,7290003427154,"שמן זית כתית מעולה 750 מ""ל טעם מעודן",זיתא,שמן זית,"שמן זית כתית מעולה 750 מ""ל טעם מעודן
זיתא | 750 מ""ל
‏39.90 ‏₪
‏5.32 ‏₪ / 100 מ""ל","שמן זית כתית מעולה 750 מ""ל טעם מעודן",
YES,olive_oil_signal_match,7290013068705,שמן זית אליעד 750 מל,סבא חביב,שמן זית,"שמן זית אליעד 750 מל
אליעד | 750 מ""ל
‏46.90 ‏₪
‏6.25 ‏₪ / 100 מ""ל
שמן זית אליעד 750 מל
אליעד | 750 מ""ל
‏46.90 ‏₪
‏6.25 ‏₪ / 100 מ""ל
שמן זית כתית מעולה סבא חביב 750 מ""ל
סבא חביב | 750 מ""ל
במבצע ‏29.90 ₪
‏34.90 ‏₪
‏4.65 ‏₪ / 100 מ""ל",שמן זית אליעד 750 מל,
YES,olive_oil_signal_match,7290011593087,"שמן זית כתית מעולה סבא חביב 750 מ""ל",סבא חביב,שמן זית,"שמן זית כתית מעולה סבא חביב 750 מ""ל
סבא חביב | 750 מ""ל
במבצע ‏29.90 ₪
‏34.90 ‏₪
‏4.65 ‏₪ / 100 מ""ל","שמן זית כתית מעולה סבא חביב 750 מ""ל",
YES,olive_oil_signal_match,7290002407348,"שמן זית כתית מעולה ג'השאן 750 מ""ל",ג'השאן,שמן זית,"שמן זית כתית מעולה ג'השאן 750 מ""ל
ג'השאן | 750 מ""ל
‏29.90 ‏₪
‏39.90 ‏₪
‏3.99 ‏₪ / 100 מ""ל","שמן זית כתית מעולה ג'השאן 750 מ""ל",
YES,olive_oil_signal_match,7290006374684,"שמן זית כתית מעולה קלאסי יד מרדכי 500 מ""ל",יד מרדכי,שמן זית,"שמן זית כתית מעולה קלאסי יד מרדכי 500 מ""ל
יד מרדכי | 500 מ""ל
‏34.90 ‏₪
‏6.98 ‏₪ / 100 מ""ל","שמן זית כתית מעולה קלאסי יד מרדכי 500 מ""ל",
YES,olive_oil_signal_match,,תרסיס שמן זית,פאם,שמן זית,"תרסיס שמן זית
פאם | 148 מ""ל
במבצע ‏15.90 ₪
‏17.90 ‏₪
‏12.09 ‏₪ / 100 מ""ל",תרסיס שמן זית,
YES,olive_oil_signal_match,7290001855232,שמן למאור 1 ליטר,,שמן זית,"שמן למאור 1 ליטר
ירושלים שמן זית | 1 ליטר
‏12.90 ‏₪
‏12.90 ‏₪ / 1 ליטר",שמן למאור 1 ליטר,
YES,olive_oil_signal_match,7290002692782,תרסיס שמן זית ללא תוספת גז,עץ הזית,שמן זית,"תרסיס שמן זית ללא תוספת גז
עץ הזית | 150 מ""ל
2 יח' ב- ‏28 ₪
‏18.90 ‏₪
‏12.60 ‏₪ / 100 מ""ל",תרסיס שמן זית ללא תוספת גז,
YES,olive_oil_signal_match,7290107956642,"תרסיס שמן זית 150 מ""ל",יד מרדכי,שמן זית,"תרסיס שמן זית 150 מ""ל
יד מרדכי | 150 מ""ל
‏17.90 ‏₪
‏11.93 ‏₪ / 100 מ""ל","תרסיס שמן זית 150 מ""ל",
YES,olive_oil_signal_match,7290011668457,"שמפו שמן זית 750 מ""ל",,שמן זית,"שמפו שמן זית 750 מ""ל
פנינה רוזנבלום | 750 מ""ל
2 יח' ב- ‏18 ₪
‏10.90 ‏₪
‏1.45 ‏₪ / 100 מ""ל","שמפו שמן זית 750 מ""ל",
YES,olive_oil_signal_match,7290017142159,נתחי טונה בהירה בשמן זית 3*80 גרם,עץ הזית,שמן זית,"נתחי טונה בהירה בשמן זית 3*80 גרם
עץ הזית | 240 גרם
‏24.90 ‏₪
‏10.38 ‏₪ / 100 גרם",נתחי טונה בהירה בשמן זית 3*80 גרם,
YES,olive_oil_signal_match,7290017142456,נתחי טונה בשמן זית 2*160 גרם,עץ הזית,שמן זית,"נתחי טונה בשמן זית 2*160 גרם
עץ הזית | 320 גרם
‏27.90 ‏₪
‏8.72 ‏₪ / 100 גרם",נתחי טונה בשמן זית 2*160 גרם,
YES,olive_oil_signal_match,7290005326387,אוליביה עגבניות מיובשות בשמן זית,,שמן זית,"אוליביה עגבניות מיובשות בשמן זית
אוליביה | 270 גרם
‏17.50 ‏₪
‏6.48 ‏₪ / 100 גרם",אוליביה עגבניות מיובשות בשמן זית,
YES,olive_oil_signal_match,7290002057031,זיתים מבוקעים 540 גרם,,שמן זית,"זיתים מבוקעים 540 גרם
שימורי יבנה | 560 גרם
‏10.90 ‏₪
‏1.95 ‏₪ / 100 גרם
בולגרית למריחה בתוספת זיתי קלמטה 200 גרם
הגבינות של ניצן | 200 גרם
‏13.90 ‏₪
‏6.95 ‏₪ / 100 גרם
טונה ריו מרה בשמן זית צ'ילי שלישייה 65*3
ריו מרה | 195 יח'
2 יח' ב- ‏50 ₪
‏28.90 ‏₪
‏0.15 ‏₪ / 1 יח'",זיתים מבוקעים 540 גרם,
YES,olive_oil_signal_match,8004030271425,טונה ריו מרה בשמן זית צ'ילי שלישייה 65*3,,שמן זית,"טונה ריו מרה בשמן זית צ'ילי שלישייה 65*3
ריו מרה | 195 יח'
2 יח' ב- ‏50 ₪
‏28.90 ‏₪
‏0.15 ‏₪ / 1 יח'",טונה ריו מרה בשמן זית צ'ילי שלישייה 65*3,
YES,olive_oil_signal_match,7290019196259,פילטונה רביעיה בשמן זית 140 גרם,,שמן זית,"פילטונה רביעיה בשמן זית 140 גרם
פיל - טונה | 560 גרם
‏29.90 ‏₪
‏5.34 ‏₪ / 100 גרם",פילטונה רביעיה בשמן זית 140 גרם,
