barcode,name,sodium_mg,flag_off_score,flag_off_grade,flag_on_score,flag_on_grade,delta,ev093_fired,ev093_floor_applied,category
7290011350002,בייגלה קלוי,920,57.0,C,51.0,C,-6.0,True,None,whole_food_fat
3560071050009,בייגל קרפור,880,57.0,C,53.0,C,-4.0,True,None,whole_food_fat
7290011350019,בייגלה מחיטה מלאה,880,57.0,C,57.0,C,0.0,False,None,bread
3560071056000,מיני בייגל קרפור שומשום,840,57.0,C,53.0,C,-4.0,True,None,whole_food_fat
7290000630020,ביסלי בצל,840,52.4,C,48.4,D,-4.0,True,None,whole_food_fat
7290000630006,ביסלי גריל,820,54.0,C,50.0,C,-4.0,True,None,whole_food_fat
7290009900003,ביסלי ספגטי,800,52.9,C,48.9,D,-4.0,True,None,whole_food_fat
7290004702001,ניבים תירס,750,47.5,D,45.5,D,-2.0,True,None,whole_food_fat
7290000078006,קרקרים שם טוב גבינה,720,39.0,D,39.0,D,0.0,False,None,cracker
7290031100001,חטיף תירס גבינה,700,36.8,D,35.8,D,-1.0,True,None,snack_bar_granola
3560071063009,ביסקוצ'י קרפור גבינה,650,39.0,D,39.0,D,0.0,False,None,dairy_protein
7290000615003,פיתות שטויות,650,72.2,B,62,C,-10.2,True,None,whole_food_fat
8710908800018,דורטוס קול ראנץ',640,49.6,D,48.6,D,-1.0,True,None,whole_food_fat
7290000615010,פיתות שטויות מחיטה מלאה,630,68.7,B,62,C,-6.7,False,None,bread
5010477348087,פייס פיטה צ'יפס שום ועשבי תיבול,620,67.7,B,67.7,B,0.0,False,None,whole_food_fat
7290015700018,תפוצ'יפס BBQ,620,39.2,D,39.2,D,0.0,False,None,whole_food_fat
7290019900018,פופקורן Good Boy גבינה,620,36.0,D,36.0,D,0.0,False,None,dairy_protein
7290014250018,טייסטי גבינה,610,32.9,E,32.9,E,0.0,False,None,dairy_protein
7290002050001,חיפסי בצ'יפס עגול,600,70,B,70,B,0,False,None,whole_food_fat
7290002211001,קרקרים עם מלח ים,600,70.5,B,70.5,B,0.0,False,None,cracker
7290015700001,תפוצ'יפס טעם גבינה,600,49.0,D,49.0,D,0.0,False,None,whole_food_fat
8710908800001,דורטוס נאצ'וז מקסיקני,590,53.9,C,53.9,C,0.0,False,None,whole_food_fat
5010477348070,פייס פיטה צ'יפס מלח ים,580,70.9,B,70.9,B,0.0,False,None,whole_food_fat
7290000055014,תפוצ'יפס פפריקה,580,51.9,C,51.9,C,0.0,False,None,whole_food_fat
7290014800018,צ'יפסי פחות שומן,580,70,B,70,B,0,False,None,whole_food_fat
3560071020019,פופקורן קרפור גבינה,570,52.6,C,52.6,C,0.0,False,None,dairy_protein
7290003100001,פופקורן מלח וחמאה,560,49.0,D,49.0,D,0.0,False,None,whole_food_fat
7290014250001,טייסטי עגבניות ובזיל,560,50.8,C,50.8,C,0.0,False,None,whole_food_fat
7290024400001,קרקרים קריספ מחיטה מלאה,560,83.4,A,83.4,A,0.0,False,None,cracker
7290014800001,צ'יפסי תפוחי אדמה ים מלח,540,70,B,70,B,0,False,None,whole_food_fat
7290021800001,צ'יפסט בייקד עגבניות,540,56.2,C,56.2,C,0.0,False,None,whole_food_fat
7290000055007,תפוצ'יפס רגיל,530,70,B,70,B,0,False,None,whole_food_fat
8001505008118,פרינגלס פפריקה,530,43.8,D,43.8,D,0.0,False,None,whole_food_fat
7290000091004,חטיף תפוחי אדמה אפוי ים מלח,510,58.3,C,58.3,C,0.0,False,None,snack_bar_granola
3560071020002,פופקורן קרפור מלח,500,70.4,B,70.4,B,0.0,False,None,whole_food_fat
7290021800018,צ'יפסט בייקד מלח ים,500,64.2,C,64.2,C,0.0,False,None,whole_food_fat
3560071044503,ביסקוצ'י קרפור חיטה מלאה,480,78.9,B,78.9,B,0.0,False,None,bread
7290005204001,פרינגלס אוריג'ינל,480,46.0,D,47.0,D,1.0,True,None,whole_food_fat
7290019900001,פופקורן Good Boy מלח,480,70.0,B,71.0,B,1.0,True,None,whole_food_fat
7290011350033,קרקרים מחיטה מלאה זרעים,450,72.1,B,72.1,B,0.0,False,None,cracker
3560071033019,חטיף חומוס אפוי קרפור,440,84.0,A,84.0,A,0.0,False,None,sauce_spread
3560071033002,חטיף עדשים אפוי קרפור,420,87.5,A,88.5,A,1.0,True,None,snack_bar_granola
7290011499018,פצפוצי אורז מלח ים,420,65.8,B,66.8,B,1.0,True,None,snack_bar_granola
7290035510001,קרקרים שיפון,420,81.3,A,81.3,A,0.0,False,None,cracker
3560071099008,גלעינון קרפור אורז מלח ים,390,61.2,C,61.2,C,0.0,False,None,beverage
7290011499025,פצפוצי חיטה מחיטה מלאה,380,74.2,B,75.2,B,1.0,True,None,snack_bar_granola
7290000066003,במבה,360,49.0,D,50.0,C,1.0,True,None,whole_food_fat
3560071099022,גלעינון קרפור חיטה מלאה,320,78.1,B,78.1,B,0.0,False,None,bread
7290000087007,פופקורן Flex קרמל,280,22.0,E,24.0,E,2.0,True,None,snack_bar_granola
7290028800001,פצפוצי אורז מחיטה מלאה ושיפון,280,75.6,B,75.6,B,0.0,False,None,bread
7290004000001,פופקורן ריינבו קרמל,260,20.4,E,22.4,E,2.0,True,None,snack_bar_granola
7290000066010,במבה עם קרם שוקולד,240,28.4,E,28.4,E,0.0,False,None,dessert
7290003100018,פופקורן טבעי ללא תוספת מלח,15,77.5,B,80.5,A,3.0,True,None,whole_food_fat
7290011499001,פצפוצי אורז רגיל,10,85,A,85,A,0,True,None,snack_bar_granola
