barcode,pool,score,grade,binding_cap,nova,fat_g,sodium_mg,context_flag,category,subtype
3126712,spoonable,71.1,B,94.8,3,3.5,45.0,,dairy_protein,
4068011,spoonable,85,A,,1,5.0,50.0,,dairy_protein,
4068172,spoonable,68.8,B,94.8,3,3.5,45.0,,dairy_protein,
408316,spoonable,79.3,B,,2,3.0,48.0,,dairy_protein,
408354,spoonable,63.1,C,72,3,4.2,50.0,,dairy_protein,
4119133,spoonable,72.4,B,,2,6.5,50.0,,dairy_protein,
43944,spoonable,74.7,B,,2,4.0,50.0,,dairy_protein,
45771,spoonable,74.5,B,,2,4.0,50.0,,dairy_protein,
4584528,spoonable,81.5,A,,2,1.7,48.0,,dairy_protein,
5416415,spoonable,75,B,,2,,33.0,,dairy_protein,
57132,spoonable,80.6,A,,2,1.5,65.0,,dairy_protein,
57149,spoonable,79.7,B,,2,3.0,50.0,,dairy_protein,
5839078,spoonable,79.6,B,,2,3.0,48.0,,dairy_protein,
6664693,spoonable,49.2,D,72,4,3.0,36.0,,dairy_protein,
6664990,spoonable,80.8,A,,2,1.7,48.0,,dairy_protein,
7290010471669,spoonable,37.3,D,68.0,4,3.8,55.0,,dairy_protein,
7290012645297,spoonable,75.3,B,,2,3.5,50.0,,dairy_protein,
7290014758100,spoonable,79.7,B,,2,3.0,50.0,,dairy_protein,
7290014758117,spoonable,78.4,B,94.8,3,1.5,65.0,,dairy_protein,
7290014890572,spoonable,74.6,B,,2,3.5,20.0,,dairy_protein,
7290014890589,spoonable,75.5,B,,2,8.0,44.0,,dairy_protein,
7290016606522,spoonable,76.4,B,,2,2.3,65.0,,dairy_protein,
7290017065588,spoonable,72.3,B,,2,10.0,50.0,,dairy_protein,
7290102390427,spoonable,39.0,D,68.0,4,3.0,55.0,,dairy_protein,
7290102390465,spoonable,38.7,D,68.0,4,3.0,55.0,,dairy_protein,
7290102390489,spoonable,40.4,D,68.0,4,3.0,90.0,,dairy_protein,
7290102391844,spoonable,38.4,D,68.0,4,3.0,50.0,,dairy_protein,
7290102393039,spoonable,43.7,D,68.0,4,4.6,45.0,,dairy_protein,
7290102393060,spoonable,62,C,94.8,3,3.1,50.0,,dairy_protein,
