barcode,score,grade,binding_caps,nova,fat_g,sodium_mg,sugars_g,context_flag,sugar_shelf_rel_penalty
7290102393299,77.2,B,,2,3.8,50.0,3.8,,0
4068035,73.8,B,,2,3.0,170.0,3.3,,0
7290115676051,72.0,B,NOVA_PROXY_3_PROCESSED,3,1.4,77.0,4.9,,0
7290020711090,69.0,B,NOVA_PROXY_3_PROCESSED,3,3.5,55.0,6.0,,0
7290020711007,68.3,B,NOVA_PROXY_3_PROCESSED,3,3.5,53.0,4.8,,0
7290110573737,65.4,B,NOVA_PROXY_4_ULTRA_PROCESSED;ADDITIVE_MARKERS_3_PLUS,4,1.0,74.0,3.4,,0
7290110552244,63.0,C,NOVA_PROXY_4_ULTRA_PROCESSED;ADDITIVE_MARKERS_3_PLUS,4,1.0,78.0,3.6,,0
7290107937542,61.4,C,NOVA_PROXY_3_PROCESSED,3,1.2,56.0,4.9,,0
7290105364678,61.3,C,NOVA_PROXY_3_PROCESSED,3,1.2,56.0,5.0,,0
7290105965738,60.0,C,NOVA_PROXY_3_PROCESSED,3,1.5,26.0,4.9,,0
7290019635567,57.8,C,NOVA_PROXY_3_PROCESSED,3,3.0,80.0,12.0,,0
7290110325114,57.0,C,NOVA_PROXY_4_ULTRA_PROCESSED;ADDITIVE_MARKERS_5_PLUS,4,0.5,55.0,3.6,,0
7290119380923,55.7,C,NOVA_PROXY_4_ULTRA_PROCESSED,4,1.6,30.0,5.0,,0
7290107938396,52.9,C,NOVA_PROXY_4_ULTRA_PROCESSED,4,1.5,30.0,5.0,,0
7290110325121,52.0,C,NOVA_PROXY_4_ULTRA_PROCESSED;ADDITIVE_MARKERS_5_PLUS,4,0.5,53.0,3.3,,0
7290102031276,49.5,D,NOVA_PROXY_4_ULTRA_PROCESSED,4,1.5,30.0,5.0,,0
55336,36.6,D,NOVA_PROXY_4_ULTRA_PROCESSED;ADDITIVE_MARKERS_3_PLUS,4,1.5,39.0,9.6,,0
55343,36.5,D,NOVA_PROXY_4_ULTRA_PROCESSED;ADDITIVE_MARKERS_3_PLUS,4,1.5,38.0,9.9,,0
58030,35.2,D,NOVA_PROXY_4_ULTRA_PROCESSED;ADDITIVE_MARKERS_5_PLUS,4,1.5,41.0,8.0,,0
55329,34.3,E,NOVA_PROXY_4_ULTRA_PROCESSED;ADDITIVE_MARKERS_5_PLUS,4,1.5,38.0,9.8,,0
