barcode,name,pool,score,grade,binding_cap,caps_applied_count,nova,category,category_subtype,sodium_mg,fat_g,sugars_g,context_flag,evaluation_status
3126712,יוגורט עיזים ביו 3%,spoonable,71.1,B,94.8,1,3,dairy_protein,,45.0,3.5,2.8,,standard
4068011,יוגורט כבשים 5% שומן,spoonable,85,A,,0,1,dairy_protein,,50.0,5.0,3.5,,standard
4068172,יוגורט עיזים גד בדלי,spoonable,68.8,B,94.8,1,3,dairy_protein,,45.0,3.5,3.5,,standard
408316,יוגורט ביו 3% שומן דנונה,spoonable,79.3,B,,0,2,dairy_protein,,48.0,3.0,4.5,,standard
408354,יוגורט קראנצ פצפוצים,spoonable,63.1,C,72,2,3,dairy_protein,,50.0,4.2,8.5,,standard
4119133,יוגורט בכד6.5% שומן,spoonable,72.4,B,,0,2,dairy_protein,,50.0,6.5,3.5,,standard
43944,יוגורט בכד 4% שומן,spoonable,74.7,B,,0,2,dairy_protein,,50.0,4.0,,,standard
45771,יוגורט בכד 4% שומן,spoonable,74.5,B,,0,2,dairy_protein,,50.0,4.0,,,standard
4584528,יוגורט ביו 1.7% דנונה,spoonable,81.5,A,,0,2,dairy_protein,,48.0,1.7,4.5,,standard
5416415,יוגורט עזים טבעי 3%,spoonable,75,B,,0,2,dairy_protein,,33.0,,,,standard
57132,יוגורט ביו 1.5%,spoonable,80.6,A,,0,2,dairy_protein,,65.0,1.5,5.3,,standard
57149,יוגורט ביו 3%,spoonable,79.7,B,,0,2,dairy_protein,,50.0,3.0,4.0,,standard
5839078,יוגורט דנונה ביו 3%,spoonable,79.6,B,,0,2,dairy_protein,,48.0,3.0,4.5,,standard
6664693,דנונה אפרסק3% שומן,spoonable,49.2,D,72,2,4,dairy_protein,,36.0,3.0,8.9,,standard
6664990,יוגורט דנונה ביו 1.7%,spoonable,80.8,A,,0,2,dairy_protein,,48.0,1.7,4.5,,standard
7290010471669,יוגורט קראנצ תות קורנפלק,spoonable,37.3,D,68.0,2,4,dairy_protein,,55.0,3.8,9.9,,standard
7290012645297,יוגורט עיזים ביו,spoonable,75.3,B,,0,2,dairy_protein,,50.0,3.5,4.0,,standard
7290014758100,יוגורט ביו 3%,spoonable,79.7,B,,0,2,dairy_protein,,50.0,3.0,4.0,,standard
7290014758117,יוגורט ביו 1.5% שומן,spoonable,78.4,B,94.8,1,3,dairy_protein,,65.0,1.5,5.3,,standard
7290014890572,יוגורט עיזים 3.5% ביו,spoonable,74.6,B,,0,2,dairy_protein,,20.0,3.5,2.9,,standard
7290014890589,יוגורט יווני 8%,spoonable,75.5,B,,0,2,dairy_protein,,44.0,8.0,3.0,,standard
7290016606522,יוגורט טבעי מחלב עיזים,spoonable,76.4,B,,0,2,dairy_protein,,65.0,2.3,2.9,,standard
7290017065588,יוגורט יווני 10%,spoonable,72.3,B,,0,2,dairy_protein,,50.0,10.0,3.0,,standard
7290102390427,יוגורט פרופ קציפת תות,spoonable,39.0,D,68.0,2,4,dairy_protein,,55.0,3.0,9.7,,standard
7290102390465,מולר פרופ אפרסק פסיפלורה,spoonable,38.7,D,68.0,2,4,dairy_protein,,55.0,3.0,9.7,,standard
7290102390489,יוגורט פרופ קציפת לימון,spoonable,40.4,D,68.0,2,4,dairy_protein,,90.0,3.0,9.7,,standard
7290102391844,יוגורט פרופ פירות יער,spoonable,38.4,D,68.0,2,4,dairy_protein,,50.0,3.0,9.7,,standard
7290102393039,יוגורט מולר מיקס פצפוצים,spoonable,43.7,D,68.0,1,4,dairy_protein,,45.0,4.6,13.5,,standard
7290102393060,יוגורט מולר מיקס גליליות,spoonable,62,C,94.8,1,3,dairy_protein,,50.0,3.1,14.0,,standard
7290102393169,יוגורט תות 3% שומן,spoonable,42.4,D,68.0,2,4,dairy_protein,,40.0,3.0,9.5,,standard
7290102393176,יוגורט אפרסק 3% שומן,spoonable,43.6,D,68.0,2,4,dairy_protein,,40.0,3.0,9.5,,standard
7290102393947,יוגורט קיווי 3% שומן,spoonable,43.5,D,68.0,2,4,dairy_protein,,40.0,3.0,9.8,,standard
7290102394081,מולר מיקס קורנפלקס מצופה,spoonable,51.0,C,68.0,2,4,dairy_protein,,55.0,3.9,13.1,,standard
7290102395224,יוגורט מולר נטורל 1.7%,spoonable,75,B,,0,2,dairy_protein,,50.0,1.7,3.0,,standard
7290102395231,יוגורט ביו נטורל 2.8%,spoonable,80.8,A,,0,2,dairy_protein,,45.0,2.8,2.9,,standard
7290102397600,מולר מיקס שקדים ובוטנים,spoonable,58.4,C,87.2,1,4,dairy_protein,,40.0,4.5,13.6,,standard
7290102397617,מולר מיקס כדורי דגנים,spoonable,53.6,C,87.2,1,4,dairy_protein,,50.0,4.1,13.8,,standard
7290102399635,יוגורט פרופ קוקוס ואננס,spoonable,36.3,D,60,2,4,dairy_protein,,40.0,3.9,9.6,,standard
