approved_for_scrape,suggested_decision,decision_reason,barcode,name,brand,query,card_text,image_alt,image_url_raw
YES,YES,milk_or_beverage_with_liquid_signal,7290003029815,חלב 3% בקבוק 2 ליטר,,חלב 3%,"חלב 3% בקבוק 2 ליטר
יטבתה | 2 ליטר
‏16.90 ‏₪
‏8.45 ‏₪ / 1 ליטר",חלב 3% בקבוק 2 ליטר,"https://yochananof.co.il/_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F3%2F5%2F351247_7290003029815.jpg&w=256&q=75 /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F3%2F5%2F351247_7290003029815.jpg&w=256&q=75 1x, /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F3%2F5%2F351247_7290003029815.jpg&w=384&q=75 2x"
YES,YES,milk_or_beverage_with_liquid_signal,7290116936291,חלב 3% עדה חרדית תנובה 2 ליטר,,חלב 3%,"חלב 3% עדה חרדית תנובה 2 ליטר
תנובה | 2 ליטר
‏14.56 ‏₪
‏7.28 ‏₪ / 1 ליטר",חלב 3% עדה חרדית תנובה 2 ליטר,"https://yochananof.co.il/_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F7290116936291_s1_1502-03-2026_12-25-08.jpg&w=256&q=75 /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F7290116936291_s1_1502-03-2026_12-25-08.jpg&w=256&q=75 1x, /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F7290116936291_s1_1502-03-2026_12-25-08.jpg&w=384&q=75 2x"
YES,YES,milk_or_beverage_with_liquid_signal,7290004131074,חלב תנובה טרי 1 ל קרטון 3% מהדרין - מחיר בפיקוח ממשלתי,,חלב 3%,"חלב תנובה טרי 1 ל קרטון 3% מהדרין - מחיר בפיקוח ממשלתי
חלב תנובה | 1 ליטר
‏7.28 ‏₪
‏7.28 ‏₪ / 1 ליטר",חלב תנובה טרי 1 ל קרטון 3% מהדרין - מחיר בפיקוח ממשלתי,"https://yochananof.co.il/_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F7290004131074_s1_1502-12-2026_14-47-08.jpg&w=256&q=75 /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F7290004131074_s1_1502-12-2026_14-47-08.jpg&w=256&q=75 1x, /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F7290004131074_s1_1502-12-2026_14-47-08.jpg&w=384&q=75 2x"
YES,YES,milk_or_beverage_with_liquid_signal,,חלב 3% בקרטון 1 ליטר - מחיר בפיקוח ממשלתי,,חלב 3%,"חלב 3% בקרטון 1 ליטר - מחיר בפיקוח ממשלתי
חלב תנובה | 1 ליטר
‏7.28 ‏₪
‏7.28 ‏₪ / 1 ליטר",חלב 3% בקרטון 1 ליטר - מחיר בפיקוח ממשלתי,"https://yochananof.co.il/_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F4%2Ff%2F4fd1b67388f8e34b37a9f715650f820c7576b608249c191c0a9e127c1b4a8423.jpeg&w=256&q=75 /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F4%2Ff%2F4fd1b67388f8e34b37a9f715650f820c7576b608249c191c0a9e127c1b4a8423.jpeg&w=256&q=75 1x, /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F4%2Ff%2F4fd1b67388f8e34b37a9f715650f820c7576b608249c191c0a9e127c1b4a8423.jpeg&w=384&q=75 2x"
YES,YES,milk_or_beverage_with_liquid_signal,7290000522319,חלב טרי מהגולן 3%,,חלב 3%,"חלב טרי מהגולן 3%
מחלבות רמת הגולן | 1 ליטר
‏7.28 ‏₪
‏7.28 ‏₪ / 1 ליטר",חלב טרי מהגולן 3%,"https://yochananof.co.il/_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F729000052231911-07-2024_17-45-56.jpg&w=256&q=75 /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F729000052231911-07-2024_17-45-56.jpg&w=256&q=75 1x, /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F729000052231911-07-2024_17-45-56.jpg&w=384&q=75 2x"
YES,YES,milk_or_beverage_with_liquid_signal,7290107932080,חלב בבקבוק 3% מועשר- מהדרין,,חלב 3%,"חלב בבקבוק 3% מועשר- מהדרין
יטבתה | 1 ליטר
‏8.90 ‏₪
‏8.90 ‏₪ / 1 ליטר",חלב בבקבוק 3% מועשר- מהדרין,"https://yochananof.co.il/_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F3%2F4%2F344073_7290107932080.jpg&w=256&q=75 /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F3%2F4%2F344073_7290107932080.jpg&w=256&q=75 1x, /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F3%2F4%2F344073_7290107932080.jpg&w=384&q=75 2x"
YES,YES,milk_or_beverage_with_liquid_signal,7290000056845,חלב טרי 1.5 ליטר 3% הומוגני קרטון - מחיר בפיקוח ממשלתי,,חלב 3%,"חלב טרי 1.5 ליטר 3% הומוגני קרטון - מחיר בפיקוח ממשלתי
חלב תנובה | 1.5 ליטר
‏10.92 ‏₪
‏7.28 ‏₪ / 1 ליטר",חלב טרי 1.5 ליטר 3% הומוגני קרטון - מחיר בפיקוח ממשלתי,"https://yochananof.co.il/_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F7290000056845_s1_1510-26-2025_13-06-25.jpg&w=256&q=75 /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F7290000056845_s1_1510-26-2025_13-06-25.jpg&w=256&q=75 1x, /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F7290000056845_s1_1510-26-2025_13-06-25.jpg&w=384&q=75 2x"
YES,YES,milk_or_beverage_with_liquid_signal,7290102398065,חלב בקרטון 3% 2 ליטר מהדרין - מחיר בפיקוח ממשלתי,,חלב 3%,"חלב בקרטון 3% 2 ליטר מהדרין - מחיר בפיקוח ממשלתי
טרה | 2 ליטר
‏14.56 ‏₪
‏7.28 ‏₪ / 1 ליטר",חלב בקרטון 3% 2 ליטר מהדרין - מחיר בפיקוח ממשלתי,"https://yochananof.co.il/_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F729010239806502-06-2023_07-18-20.jpg&w=256&q=75 /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F729010239806502-06-2023_07-18-20.jpg&w=256&q=75 1x, /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F729010239806502-06-2023_07-18-20.jpg&w=384&q=75 2x"
YES,YES,milk_or_beverage_with_liquid_signal,7290116936307,חלב 3% מהדרין תנובה 2 ליטר,,חלב 3%,"חלב 3% מהדרין תנובה 2 ליטר
תנובה | 2 ליטר
‏14.56 ‏₪
‏7.28 ‏₪ / 1 ליטר",חלב 3% מהדרין תנובה 2 ליטר,"https://yochananof.co.il/_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F7290116936307_s1_1502-03-2026_13-15-11.jpg&w=256&q=75 /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F7290116936307_s1_1502-03-2026_13-15-11.jpg&w=256&q=75 1x, /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F7290116936307_s1_1502-03-2026_13-15-11.jpg&w=384&q=75 2x"
YES,YES,milk_or_beverage_with_liquid_signal,,חלב עמיד 3% שומן תנובה 1 ליטר,,חלב 3%,"חלב עמיד 3% שומן תנובה 1 ליטר
חלב תנובה | 1 ליטר
‏8.60 ‏₪
‏8.60 ‏₪ / 1 ליטר",חלב עמיד 3% שומן תנובה 1 ליטר,"https://yochananof.co.il/_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F4%2F7%2F47dd1a8c6fed4f6de2b275430809a74fe1cebedfc70a0403ad450dd70ac762ce.jpeg&w=256&q=75 /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F4%2F7%2F47dd1a8c6fed4f6de2b275430809a74fe1cebedfc70a0403ad450dd70ac762ce.jpeg&w=256&q=75 1x, /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F4%2F7%2F47dd1a8c6fed4f6de2b275430809a74fe1cebedfc70a0403ad450dd70ac762ce.jpeg&w=384&q=75 2x"
