================================================================================
COMPONENT B MATRIX SIGNAL PROBE v5.1
NC-2a: trace-grain guard (abs 5% + rel 50%) | NC-2b: sourdough neutral
Formula base: v5 (M-1: nudge 0.05 | M-2: grain-context 0.5x penalty)
Run: 2026-06-26T05:13:14.856386+00:00
TASK: TASK-395 | Reader: structured_ingredient_reader.py (v4, unchanged)
Gold set: matrix_gold_set_v2.json (67 products, 20 T3 pairs)
Frozen by: adversarial-qa-agent — independent of formula author
RP-04: as-is in frozen JSON (uncorrected). B2 reported both as-is and corrected.
================================================================================

--------------------------------------------------------------------------------
UNREADABLE PRODUCT CHECK
7290013453624: v5_1_score = None
Result: PASS

--------------------------------------------------------------------------------
GATE B1: ANCHOR CALIBRATION
Condition: T1 score >= 60; T2 score <= 45  |  Bar: >= 90%
--------------------------------------------------------------------------------
T1 (clear-whole): 16/17 pass (score >= 60)
  Scores: [54.1, 62.7, 91.2, 92.2, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0]
T2 (clear-refined): 14/14 pass (score <= 45)
  Scores: [10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 12.2, 12.2, 16.8, 18.5, 36.9]
COMBINED B1: 30/31 = 96.8%  |  Target >= 90%  |  PASS
B1 FAILURES (1):
  7290106571945 (עוגיות קקאו דגנים מלאים עם נטיפי שוקולד מריר פיטנס) tier=T1 v5=54.1 v5.1=54.1 expected=>= 60
    KNOWN: v4 reader scores 54.1 (below T1 threshold of 60) due to composite-without-parent_pct gap. Known B1 failure, deferred per d7_cosign_v5_formula.md Ruling 4 and NC-3.

--------------------------------------------------------------------------------
GATE B2: ORDINAL RANKING — ALL 20 T3 PAIRS
Condition: more-whole product scores higher  |  Bar: >= 95% = 19/20
Total pairs: 20  |  Evaluable: 20

B2 AS-IS (RP-04 uncorrected in frozen JSON): 20/20 = 100.0%  |  PASS
B2 WITH RP-04 CORRECTED (muesli 39% > granola 28% effective): 20/20 = 100.0%  |  PASS
RP-04 corrected direction: muesli (52.0) > granola (45.6) — CORRECT

Pair     Higher BC          Lower BC           H_score   L_score   Margin    Pass  
--------------------------------------------------------------------------------
RP-01    6322838            7290115205176      71.2      49.9      +21.3     OK
RP-02    7290018500460      7296073659952      52.5      45.6      +6.9      OK
RP-03    7290016883176      7290011131371      52.5      49.5      +3.0      OK
RP-04    7290011131388      7290011131975      52.0      45.6      +6.4      OK
RP-05    7290118427858      7290107947480      75.7      35.1      +40.6     OK
RP-06    379142             481180             74.6      25.5      +49.1     OK
RP-07    8445291638839      7296073705550      90.0      52.5      +37.5     OK
RP-08    7290016883176      7290011131388      52.5      52.0      +0.5      OK
RP-09    7290118427858      9401790            75.7      52.4      +23.3     OK
RP-10    5900020034021      7290107947480      39.8      35.1      +4.7      OK
RP-11    7290112968807      481180             46.8      25.5      +21.3     OK
RP-12    7290011131975      7290011131050      45.6      41.2      +4.4      OK
RP-13    5900020039590      5900020015174      52.5      50.8      +1.7      OK
RP-14    7290106771369      7290011131371      89.3      49.5      +39.8     OK
RP-15    7613035622623      7296073705550      92.5      52.5      +40.0     OK
RP-16    6451521            481180             60.3      25.5      +34.8     OK
RP-17    6451507            9401790            62.2      52.4      +9.8      OK
RP-18    6983176            7290115205176      93.7      49.9      +43.8     OK
RP-19    5900020039620      5900020015174      52.5      50.8      +1.7      OK
RP-20    7290011131388      7290011131968      52.0      42.4      +9.6      OK

KNIFE-EDGE MARGINS (<= 1.0 pt): 1 pair(s):
  RP-08: margin=+0.5
    oats 47% > oats 39%


--------------------------------------------------------------------------------
GATE B3: MARKER COVERAGE (parseable denominator)
Condition: >= 95% of parseable products fire >= 1 marker
--------------------------------------------------------------------------------
Parseable: 64  |  No markers: 0
Coverage: 64/64 = 100.0%  |  PASS

--------------------------------------------------------------------------------
GRAIN-CONTEXT ACTIVATION TABLE (per product)
Guard conditions: abs_floor=grain_whole_ew>=5% AND rel_floor=grain_whole_ew>=50% of non_grain_whole_ew
--------------------------------------------------------------------------------
Barcode            Tier  grain_ew   ng_ew      abs?   rel?   ctx?   chg?      v5   v5.1
--------------------------------------------------------------------------------
16000423534        T1      1.0800    0.0000  Y      Y      Y      N       95.0   95.0
16000548404        T1      1.2000    0.0000  Y      Y      Y      N       95.0   95.0
16000548503        T1      1.2000    0.0000  Y      Y      Y      N       95.0   95.0
7290112199942      T1      1.0600    0.0000  Y      Y      Y      N       95.0   95.0
7290112199959      T1      1.0600    0.0000  Y      Y      Y      N       95.0   95.0
574615             T1      1.2000    0.0000  Y      Y      Y      N       95.0   95.0
7290106571945      T1      0.5148    0.0000  Y      Y      Y      N       54.1   54.1
7290013740823      T1      0.7400    0.2600  Y      Y      Y      N       95.0   95.0
574141             T1      0.7438    0.1577  Y      Y      Y      N       95.0   95.0
7290106771314      T1      0.5400    0.4245  Y      Y      Y      N       91.2   91.2
7290017962047      T1      0.5247    0.4753  Y      Y      Y      N       95.0   95.0
7290013433107      T1      0.5000    0.4753  Y      Y      Y      N       92.2   92.2
7296073705567      T1      0.6200    0.0000  Y      Y      Y      N       62.7   62.7
7290017947464      T1      1.1600    0.0000  Y      Y      Y      N       95.0   95.0
7290017962023      T1      0.5460    0.4540  Y      Y      Y      N       95.0   95.0
7613037012095      T1      1.0220    0.0470  Y      Y      Y      N       95.0   95.0
96086000577        T1      1.9600    0.0000  Y      Y      Y      N       95.0   95.0
7290119043095      T2      0.0800    0.0000  Y      Y      Y      N       16.8   16.8
7290119040568      T2      0.0000    0.0000  N      Y      N      N       10.0   10.0
7290018500644      T2      0.0000    0.0000  N      Y      N      N       10.0   10.0
7290116530482      T2      0.0000    0.0000  N      Y      N      N       12.2   12.2
7290107647731      T2      0.2050    0.0000  Y      Y      Y      N       36.9   36.9
7296073431916      T2      0.0000    0.0000  N      Y      N      N       10.0   10.0
5000396021202      T2      0.0000    0.0000  N      Y      N      N       10.0   10.0
7622201809188      T2      0.0000    0.0000  N      Y      N      N       10.0   10.0
7290116537351      T2      0.0781    0.0394  Y      Y      Y      N       18.5   18.5
7290017325910      T2      0.0000    0.0000  N      Y      N      N       12.2   12.2
313184             T2      0.0000    0.0000  N      Y      N      N       10.0   10.0
7296073398875      T2      0.0000    0.0000  N      Y      N      N       10.0   10.0
7290119040667      T2      0.0000    0.0000  N      Y      N      N       10.0   10.0
8710502279010      T2      0.0000    0.0000  N      Y      N      N       10.0   10.0
6322838            T3      0.5800    0.0000  Y      Y      Y      N       71.2   71.2
7290018500460      T3      0.3400    0.0000  Y      Y      Y      N       52.5   52.5
7290115205176      T3      0.4000    0.0270  Y      Y      Y      N       49.9   49.9
7296073659952      T3      0.3979    0.0300  Y      Y      Y      N       45.6   45.6
7290011131975      T3      0.2795    0.0729  Y      Y      Y      N       45.6   45.6
7290011131050      T3      0.2242    0.0785  Y      Y      Y      N       41.2   41.2
7290016883176      T3      0.4700    0.0000  Y      Y      Y      N       52.5   52.5
7290011131371      T3      0.3800    0.0487  Y      Y      Y      N       49.5   49.5
7290011131388      T3      0.3900    0.0752  Y      Y      Y      N       52.0   52.0
7290118427858      T3      0.7594    0.0155  Y      Y      Y      N       75.7   75.7
7290112968807      T3      0.3700    0.0192  Y      Y      Y      N       46.8   46.8
9401790            T3      0.4484    0.0000  Y      Y      Y      N       52.4   52.4
5900020034021      T3      0.3500    0.0000  Y      Y      Y      N       39.8   39.8
7290107947480      T3      0.0032    0.2067  N      N      N      Y       27.6   35.1
379142             T3      0.7600    0.0000  Y      Y      Y      N       74.6   74.6
8445291638839      T3      1.0540    0.0000  Y      Y      Y      N       90.0   90.0
7290112495433      T3      0.2583    0.1300  Y      Y      Y      N       49.8   49.8
481180             T3      0.1500    0.0000  Y      Y      Y      N       32.4   25.5
7290120870017      T3      0.0800    0.0300  Y      Y      Y      N       18.2   18.2
7296073705550      T3      0.5220    0.0000  Y      Y      Y      N       52.5   52.5
7290117382868      T3      0.1300    0.0000  Y      Y      Y      N       28.7   28.7
5900020039590      T3      0.4130    0.0000  Y      Y      Y      N       52.5   52.5
5900020015174      T3      0.4270    0.0000  Y      Y      Y      N       50.8   50.8
7290106771369      T3      0.5600    0.3858  Y      Y      Y      N       89.3   89.3
7613035622623      T3      1.1070    0.0000  Y      Y      Y      N       92.5   92.5
6451521            T3      0.4940    0.0000  Y      Y      Y      N       63.5   60.3
6451507            T3      0.5273    0.0000  Y      Y      Y      N       64.7   62.2
6983176            T3      0.9600    0.0250  Y      Y      Y      N       93.7   93.7
5900020039620      T3      0.3940    0.0700  Y      Y      Y      N       52.5   52.5
7290011131968      T3      0.1704    0.1834  Y      Y      Y      N       42.4   42.4
7297488098688      T4      1.0000    0.0000  Y      Y      Y      N       52.5   52.5
5010029000061      T4      0.9500    0.0000  Y      Y      Y      N       93.0   93.0
58449779032        T4      0.5000    0.0000  Y      Y      Y      N       57.2   57.2

Products where guard CHANGED behavior from v5 (guard suppressed grain context):
  7290107947480 (חטיף דגנים מצופה שוקולד חלב עם שברי אגוזים שישייה) tier=T3
    grain_whole_ew=0.0032 (abs=False, rel=False)
    v5_score=27.6 -> v5.1_score=35.1  delta=7.5

T1 products where guard SUPPRESSED grain context (regression risk):
  NONE — no T1 product had grain context suppressed. Guard is safe.

--------------------------------------------------------------------------------
NC-2 VERIFICATION: 7290107947480 and 481180
--------------------------------------------------------------------------------
7290107947480 (Fitness bar, chocolate + nuts):
  Ingredient: חיטה מלאה 1% inside פתיתי דגנים 32% — effective product-weight = 0.32%
  Reader effective_pct: 0.32% (1% x 32% = label-correct)
  grain_whole_ew for guard (GRAIN_WHOLE_LABELS only): 0.0032
  Guard active (grain_context): False (expected: False)
  v4_score=35.1  v5_score=27.6  v5.1_score=35.1
  v5.1 grade: D (expected: D, not F)
  NC-2 RESOLVED: YES

481180 (Sourdough bread):
  Sourdough starter: base_w=0.18, eff_w=0.0 (expected: 0.0)
  sourdough_w_zeroed=0.18
  v4_score=38.0  v5_score=32.4  v5.1_score=25.5
  v5.1 grade: F (expected: D, not F)
  Sourdough zero contribution: YES
  NC-2 RESOLVED: NO — CHECK FAILED

Products with sourdough_starter at positions 1-3: 1
  481180 לחם מחמצת שאור: base_w=0.18 eff_w=0.0 (zeroed=YES)

--------------------------------------------------------------------------------
SCORE DISTRIBUTION (v5.1, gradable scored products)
--------------------------------------------------------------------------------
N: 61
Min: 10.0  Max: 95.0  Mean: 55.2  Median: 52.5  Stdev: 31.4
Most common (rounded): 95 (n=13)
T1 scores: [54.1, 62.7, 91.2, 92.2, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0]
T2 scores: [10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 12.2, 12.2, 16.8, 18.5, 36.9]
T3 scores: [18.2, 25.5, 28.7, 35.1, 39.8, 41.2, 42.4, 45.6, 45.6, 46.8, 49.5, 49.8, 49.9, 50.8, 52.0, 52.4, 52.5, 52.5, 52.5, 52.5, 52.5, 60.3, 62.2, 71.2, 74.6, 75.7, 89.3, 90.0, 92.5, 93.7]

--------------------------------------------------------------------------------
PER-PRODUCT TABLE (v4 / v5 / v5.1)
barcode            tier      v4     v5   v5.1  v4G  v5G  51G     b1  ctx? label
--------------------------------------------------------------------------------
16000423534        T1      95.0   95.0   95.0    A    A    A   True     Y clear-whole
16000548404        T1      95.0   95.0   95.0    A    A    A   True     Y clear-whole
16000548503        T1      95.0   95.0   95.0    A    A    A   True     Y clear-whole
7290112199942      T1      95.0   95.0   95.0    A    A    A   True     Y clear-whole
7290112199959      T1      95.0   95.0   95.0    A    A    A   True     Y clear-whole
574615             T1      95.0   95.0   95.0    A    A    A   True     Y clear-whole
7290106571945      T1      54.1   54.1   54.1    C    C    C  False     Y clear-whole
7290013740823      T1      95.0   95.0   95.0    A    A    A   True     Y clear-whole
574141             T1      95.0   95.0   95.0    A    A    A   True     Y clear-whole
7290106771314      T1      92.0   91.2   91.2    A    A    A   True     Y clear-whole
7290017962047      T1      95.0   95.0   95.0    A    A    A   True     Y clear-whole
7290013433107      T1      92.9   92.2   92.2    A    A    A   True     Y clear-whole
7296073705567      T1      62.7   62.7   62.7    C    C    C   True     Y clear-whole
7290017947464      T1      95.0   95.0   95.0    A    A    A   True     Y clear-whole
7290017962023      T1      95.0   95.0   95.0    A    A    A   True     Y clear-whole
7613037012095      T1      95.0   95.0   95.0    A    A    A   True     Y clear-whole
96086000577        T1      95.0   95.0   95.0    A    A    A   True     Y clear-whole
7290119043095      T2      16.8   16.8   16.8    F    F    F   True     Y clear-refined
7290119040568      T2      10.0   10.0   10.0    F    F    F   True     N clear-refined
7290018500644      T2      10.0   10.0   10.0    F    F    F   True     N clear-refined
7290116530482      T2      12.2   12.2   12.2    F    F    F   True     N clear-refined
7290107647731      T2      36.9   36.9   36.9    D    D    D   True     Y clear-refined
7296073431916      T2      10.0   10.0   10.0    F    F    F   True     N clear-refined
5000396021202      T2      10.0   10.0   10.0    F    F    F   True     N clear-refined
7622201809188      T2      10.0   10.0   10.0    F    F    F   True     N clear-refined
7290116537351      T2      20.0   18.5   18.5    F    F    F   True     Y clear-refined
7290017325910      T2      12.2   12.2   12.2    F    F    F   True     N clear-refined
313184             T2      10.0   10.0   10.0    F    F    F   True     N clear-refined
7296073398875      T2      10.0   10.0   10.0    F    F    F   True     N clear-refined
7290119040667      T2      10.0   10.0   10.0    F    F    F   True     N clear-refined
8710502279010      T2      10.0   10.0   10.0    F    F    F   True     N clear-refined
7290013453624      UNREADABLE   None   None   None  N/A  N/A  N/A    N/A     ? UNREADABLE
6322838            T3      71.2   71.2   71.2    B    B    B    N/A     Y hard-mixed
