barcode,name,source,router_category,protein_g,old_score,old_grade,new_score,new_grade,delta,grade_crossed,cross_direction,old_binding_cap,new_binding_cap,newly_introduced_clip,committed_baseline_score,committed_baseline_grade,drift_vs_committed_baseline
4267230,פריכיות אורז מלא מצופות,ricecakes,cracker,5.9,41.2,D,42.7,D,1.5,False,None,94.8,94.8,False,41.2,D,False
4952792,פריכיות אורז דקות אורגני,ricecakes,cracker,8.0,70.6,B,72.9,B,2.3,False,None,None,None,False,70.6,B,False
5000396021202,קרקר,crackers,cracker,7.8,44.5,D,46.7,D,2.2,False,None,94.8,94.8,False,44.5,D,False
7290011489595,קרקר טופז שומשום,crackers,cracker,8.1,50.4,C,51.0,C,0.6,False,None,60,60,True,50.4,C,False
7290013740083,קרקר דגנים ללת"ס,crackers,cracker,13.0,57.6,C,62.1,C,4.5,False,None,94.8,94.8,False,57.6,C,False
7290013740809,קרקר כוסמין סלק,crackers,cracker,8.1,74.7,B,77.0,B,2.3,False,None,94.8,94.8,False,74.7,B,False
7290013740823,קרקר כוסמין טבעי,crackers,cracker,9.5,76.2,B,79.2,B,3.0,False,None,94.8,94.8,False,76.2,B,False
7290017325422,פריכיות אורז מלא ללת"מ,ricecakes,cracker,8.8,71.3,B,73.8,B,2.5,False,None,None,None,False,71.3,B,False
7290018371275,מיני פריכיות כוסמת,ricecakes,cracker,13.4,75.7,B,80.2,A,4.5,True,B->A,94.8,94.8,False,75.7,B,False
7290018790328,קרקר מרובע מלוח,crackers,cracker,8.0,48.1,D,50.3,C,2.2,True,D->C,60,60,False,48.1,D,False
7290019431794,פריכיות כוסמת עם קינואה,ricecakes,cracker,14.0,78.9,B,83.3,A,4.4,True,B->A,None,None,False,78.9,B,False
7290020179043,פריכיות כוסמת עם טף,ricecakes,cracker,14.0,78.9,B,83.3,A,4.4,True,B->A,None,None,False,78.9,B,False
7290110560300,פריכיות משולש פלפל שחור,ricecakes,cracker,14.6,62.9,C,67.2,B,4.3,True,C->B,72,72,False,62.9,C,False
7290110560317,פריכיות משולשות מלח ים,ricecakes,cracker,14.9,70.0,B,74.2,B,4.2,False,None,94.8,94.8,False,70.0,B,False
7290111564291,פריכיות דק.+קינואה פיטנס,ricecakes,cracker,8.8,65.9,B,68.5,B,2.6,False,None,94.8,94.8,False,65.9,B,False
7290112340122,הפריכיות הטעימות 3 דגנים,ricecakes,cracker,7.5,65.8,B,67.9,B,2.1,False,None,94.8,94.8,False,65.8,B,False
7290112348999,פריכיות טעימות תירס דקות,ricecakes,cracker,7.6,65.3,B,67.5,B,2.2,False,None,94.8,94.8,False,65.3,B,False
7290112963918,קרקר דק רוזמרין פיטנס,crackers,cracker,12.0,70.9,B,75.2,B,4.3,False,None,94.8,94.8,False,70.9,B,False
7290112968807,קרקר דק פיטנס סלק,crackers,cracker,None,45.3,insufficient_data,45.3,insufficient_data,0.0,False,None,94.8,94.8,False,45.3,insufficient_data,False
7290112968821,קרקר דק פיטנס בטטה,crackers,cracker,11.5,69.4,B,73.7,B,4.3,False,None,94.8,94.8,False,69.4,B,False
7290115205176,קרקר דק כפרי פיטנס,crackers,cracker,12.5,69.4,B,73.8,B,4.4,False,None,94.8,94.8,False,69.4,B,False
7290118422129,פריכיות מיני בצל מקורמל,ricecakes,cracker,10.0,43.2,D,46.5,D,3.3,False,None,68.0,68.0,False,43.2,D,False
7290118426516,פיטנס פריכיות דקות תירס,ricecakes,cracker,7.3,64.5,C,66.6,B,2.1,True,C->B,94.8,94.8,False,64.5,C,False
7290118426530,פיטנס פריכיות דקות,ricecakes,cracker,7.3,65.1,B,67.1,B,2.0,False,None,94.8,94.8,False,65.1,B,False
7290119373352,פריכיות משולשות תפוא סלק,ricecakes,cracker,5.5,45.8,D,47.0,D,1.2,False,None,72,72,False,45.8,D,False
7296073079002,פריכיות דקות אורז מלא,ricecakes,cracker,8.3,70.1,B,72.5,B,2.4,False,None,None,None,False,70.1,B,False
7296073079019,פריכיות דקות קצח,ricecakes,cracker,8.4,70.9,B,73.3,B,2.4,False,None,None,None,False,70.9,B,False
7296073106098,פריכיות דקות כוסמת,ricecakes,cracker,9.0,71.8,B,74.4,B,2.6,False,None,None,None,False,71.8,B,False
7296073134442,קרקר פריך עם קמח שיפון,crackers,cracker,10.8,73.3,B,77.2,B,3.9,False,None,94.8,94.8,False,73.3,B,False
7296073134459,קרקר פריך בסגנון שוודי,crackers,cracker,10.7,74.1,B,78.0,B,3.9,False,None,94.8,94.8,False,74.1,B,False
