barcode,score,grade,binding_caps,nova,fat,sodium,context_flag
7290017516295,69.3,B,BASE_CAP_87.0,,17.0,29.0,
7290019766025,62,C,PROTEIN_BAR_MALTITOL_TIER1|SWEETENER_CAP_C_PROTEIN_BAR|BASE_CAP_68.0,,18.2,217.0,
7290121161886,60.1,C,BASE_CAP_68.0,,6.2,387.0,
7290121166850,55.8,C,BASE_CAP_68.0,,5.5,385.0,
7290119371129,55,C,PROTEIN_BAR_MALTITOL_TIER1|SWEETENER_CAP_C_PROTEIN_BAR|BASE_ENGINE_BINDING_CAP_INHERIT|BASE_CAP_55,,22.0,190.0,
8410076610379,54.6,C,BASE_CAP_55,,28.3,375.0,
7290119371112,54,C,PROTEIN_BAR_MALTITOL_TIER1|SWEETENER_CAP_C_PROTEIN_BAR|BASE_CAP_55,,17.0,180.0,
7290018703991,54,C,PROTEIN_BAR_MALTITOL_TIER1|BASE_CAP_55,,15.0,279.0,
7290018703984,54,C,PROTEIN_BAR_MALTITOL_TIER1|BASE_CAP_55,,15.0,300.0,
8410076610386,53.5,C,BASE_CAP_55,,29.5,354.0,
7290015130042,53.2,C,PROTEIN_BAR_MALTITOL_TIER1|BASE_CAP_55,,17.0,208.0,
7290015130035,53.1,C,PROTEIN_BAR_MALTITOL_TIER1|BASE_CAP_55,,17.0,208.0,
7290117384572,50,C,PROTEIN_BAR_MALTITOL_TIER1|SWEETENER_CAP_C_PROTEIN_BAR|BASE_CAP_55,,8.0,160.0,
7290117384589,50,C,PROTEIN_BAR_MALTITOL_TIER1|SWEETENER_CAP_C_PROTEIN_BAR|BASE_CAP_68.0,,7.7,352.0,
7290117384596,50,C,PROTEIN_BAR_MALTITOL_TIER1|SWEETENER_CAP_C_PROTEIN_BAR|BASE_CAP_68.0,,7.7,160.0,
7290121160582,50,C,PROTEIN_BAR_MALTITOL_TIER1|SWEETENER_CAP_C_PROTEIN_BAR|BASE_CAP_68.0,,7.6,272.0,
7290121161916,50,C,PROTEIN_BAR_MALTITOL_TIER1|SWEETENER_CAP_C_PROTEIN_BAR|BASE_CAP_68.0,,7.7,100.0,
7290121161930,50,C,PROTEIN_BAR_MALTITOL_TIER1|SWEETENER_CAP_C_PROTEIN_BAR|BASE_CAP_68.0,,7.7,100.0,
7290019766018,50,C,PROTEIN_BAR_MALTITOL_TIER1|SWEETENER_CAP_C_PROTEIN_BAR|BASE_CAP_55,,16.5,245.0,
7290018703304,50,C,PROTEIN_BAR_MALTITOL_TIER1|SWEETENER_CAP_C_PROTEIN_BAR|BASE_CAP_55,,13.6,209.0,
7290018703076,50,C,PROTEIN_BAR_MALTITOL_TIER1|SWEETENER_CAP_C_PROTEIN_BAR|BASE_CAP_55,,13.8,291.0,
7290018043899,50,C,PROTEIN_BAR_MALTITOL_TIER1|SWEETENER_CAP_C_PROTEIN_BAR|BASE_CAP_55,,15.7,280.0,
7290018043134,50,C,PROTEIN_BAR_MALTITOL_TIER1|SWEETENER_CAP_C_PROTEIN_BAR|BASE_CAP_55,,13.4,218.0,
7290019310235,50,C,PROTEIN_BAR_MALTITOL_TIER1|BASE_CAP_55,,13.0,240.0,
7290015130028,49.7,D,PROTEIN_BAR_MALTITOL_TIER1|BASE_CAP_55,,22.0,260.0,
7290019401049,49.5,D,PROTEIN_BAR_MALTITOL_TIER1|BASE_CAP_55,,13.0,92.0,
7290019401018,48.9,D,PROTEIN_BAR_MALTITOL_TIER1|BASE_CAP_55,,12.0,92.0,
7290019766230,48.3,D,PROTEIN_BAR_MALTITOL_TIER1|SWEETENER_CAP_C_PROTEIN_BAR|BASE_CAP_55,,17.3,253.0,
7290112915382,45,D,BASE_ENGINE_BINDING_CAP_INHERIT|BASE_CAP_45,,24.0,199.0,
7290112913487,45,D,BASE_ENGINE_BINDING_CAP_INHERIT|BASE_CAP_45,,23.0,161.0,
7290112915351,45,D,BASE_ENGINE_BINDING_CAP_INHERIT|BASE_CAP_45,,19.0,396.0,
7290019401544,43.3,D,PROTEIN_BAR_MALTITOL_TIER1|BASE_CAP_55,,11.0,160.0,
