product_name,score,grade,category,category_confidence,nova_proxy,confidence_score,evaluation_status,unresolved_flags,caps_applied,floors_applied,dominant_concern_family,dominant_positive_signal,structural_emptiness,product_id
חטיף תמרים במילוי חמאת שקדים,65,C,whole_food_fat,0.82,2,80,standard,0,,?→65,none,floor:?→65,no,bsip1_7290011498870
מרבה סלים דליס שוקולד מריר חדש,56.7,C,snack_bar_granola,0.92,3,90,standard,0,NOVA_PROXY_3_PROCESSED→75,,processing_load,regulatory_quality=95.0,no,bsip1_8423207206495
מרבה סלים דליס שוקולד חלב ללא גלוטן חדש,56.7,C,whole_food_fat,0.48,3,60,standard,2,NOVA_PROXY_3_PROCESSED→75,,processing_load,regulatory_quality=95.0,no,bsip1_8423207208260
חטיף תמרים בציפוי שוקולד 100% קקאו,55.8,C,snack_bar_granola,0.95,2,60,standard,1,,,none,additive_quality=100,no,bsip1_7290011498948
מרבה סלים דליס שוקולד לבן בטעם יוגורט,55.5,C,dairy_protein,0.55,3,82,standard,0,NOVA_PROXY_3_PROCESSED→75,,processing_load,regulatory_quality=95.0,no,bsip1_8423207210287
חטיף תמרים במילוי חמאת בוטנים,55.0,C,snack_bar_granola,0.75,2,82,standard,0,HIGH_SUGAR_25G_PLUS→60; SNACK_BAR_RED_SUGAR_LABEL→55; ISRAELI_RED_LABEL_1_SUGAR→55,,sugar_load,additive_quality=100,no,bsip1_7290011498894
קראנצ'י חטיף שיבולת שועל עם דבש חמישייה,51.4,D,cereal,0.87,3,90,standard,0,NOVA_PROXY_3_PROCESSED→75,,processing_load,regulatory_quality=95.0,no,bsip1_16000548404
קראנצ'י חטיף שיבולת שועל עם מייפל קנדי חמישייה,51.2,D,cereal,0.87,3,90,standard,0,NOVA_PROXY_3_PROCESSED→75,,processing_load,regulatory_quality=95.0,no,bsip1_16000548503
קראנצ'י חטיף שיבולת שועל ושוקולד מריר חמישיה,51.1,D,cereal,0.63,3,82,standard,1,NOVA_PROXY_3_PROCESSED→75,,processing_load,regulatory_quality=95.0,no,bsip1_16000423534
מרבה סלים דליס שוקולד לבן חדש,50.0,D,snack_bar_granola,0.53,3,82,standard,0,NOVA_PROXY_3_PROCESSED→75,,processing_load,regulatory_quality=95.0,no,bsip1_8423207207362
מרבה סלים דליס לילדים עם שוקולד חלב חדש,50.0,D,snack_bar_granola,0.52,3,67,standard,1,NOVA_PROXY_3_PROCESSED→75,,processing_load,regulatory_quality=95.0,no,bsip1_8423207208680
מרבה סלים דליס מהדורה מיוחדת שוקולד חלב,49.9,D,snack_bar_granola,0.52,3,72,standard,1,NOVA_PROXY_3_PROCESSED→75,,processing_load,regulatory_quality=95.0,no,bsip1_8423207209885
