approved_for_scrape,suggested_decision,decision_reason,barcode,name,brand,query,card_text,image_alt,image_url_raw
YES,YES,explicit_bar_type_with_pack,7.29011E+12,חטיף דגנים שוגי שישייה 156 גרם,שוגי,חטיף דגנים,"חטיף דגנים שוגי שישייה 156 גרם
שוגי | 156 גרם
2 יח' ב- ‏25 ₪
‏15.90 ‏₪
‏10.19 ‏₪ / 100 גרם",חטיף דגנים שוגי שישייה 156 גרם,"https://yochananof.co.il/_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F7290107646147_1.jpg&w=256&q=75 /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F7290107646147_1.jpg&w=256&q=75 1x, /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F7290107646147_1.jpg&w=384&q=75 2x"
YES,YES,explicit_bar_type_with_pack,7.29011E+12,חטיף דגנים מצופה שוקולד חלב עם שברי אגוזים שישייה,,חטיף דגנים,"חטיף דגנים מצופה שוקולד חלב עם שברי אגוזים שישייה
אנרג'י | 168 גרם
‏13.90 ‏₪
‏8.27 ‏₪ / 100 גרם",חטיף דגנים מצופה שוקולד חלב עם שברי אגוזים שישייה,"https://yochananof.co.il/_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F3%2F7%2F370313_7290107947480.jpg&w=256&q=75 /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F3%2F7%2F370313_7290107947480.jpg&w=256&q=75 1x, /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F3%2F7%2F370313_7290107947480.jpg&w=384&q=75 2x"
YES,YES,explicit_bar_type_with_multipack_size,4.0118E+12,קורני חטיפי דגנים שחור לבן,Corny,חטיף דגנים,"קורני חטיפי דגנים שחור לבן
קורני | 120 גרם
2 יח' ב- ‏25 ₪
‏15.90 ‏₪
‏13.25 ‏₪ / 100 גרם",קורני חטיפי דגנים שחור לבן,"https://yochananof.co.il/_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F4%2F0%2F4011800567613.jpg&w=256&q=75 /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F4%2F0%2F4011800567613.jpg&w=256&q=75 1x, /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F4%2F0%2F4011800567613.jpg&w=384&q=75 2x"
YES,YES,explicit_bar_type_with_pack,7.29011E+12,חטיף דגנים קוקומן שישייה 126 גרם,קוקומן,חטיף דגנים,"חטיף דגנים קוקומן שישייה 126 גרם
קוקומן | 126 גרם
2 יח' ב- ‏25 ₪
‏15.90 ‏₪
‏12.62 ‏₪ / 100 גרם",חטיף דגנים קוקומן שישייה 126 גרם,"https://yochananof.co.il/_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F7290107646154_1.jpg&w=256&q=75 /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F7290107646154_1.jpg&w=256&q=75 1x, /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F7290107646154_1.jpg&w=384&q=75 2x"
YES,YES,explicit_bar_type_with_multipack_size,4.0118E+12,קורני חטיפי דגנים שוקולד בננה,Corny,חטיף דגנים,"קורני חטיפי דגנים שוקולד בננה
קורני | 150 גרם
2 יח' ב- ‏25 ₪
‏15.90 ‏₪
‏10.60 ‏₪ / 100 גרם",קורני חטיפי דגנים שוקולד בננה,"https://yochananof.co.il/_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F4%2F0%2F4011800630515.jpg&w=256&q=75 /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F4%2F0%2F4011800630515.jpg&w=256&q=75 1x, /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F4%2F0%2F4011800630515.jpg&w=384&q=75 2x"
YES,YES,explicit_bar_type_with_pack,7.29011E+12,חטיף דגנים שוגי שוקו שישייה 156 גרם,שוגי,חטיף דגנים,"חטיף דגנים שוגי שוקו שישייה 156 גרם
שוגי | 156 גרם
2 יח' ב- ‏25 ₪
‏15.90 ‏₪
‏10.19 ‏₪ / 100 גרם",חטיף דגנים שוגי שוקו שישייה 156 גרם,"https://yochananof.co.il/_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F7290107646826_1.jpg&w=256&q=75 /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F7290107646826_1.jpg&w=256&q=75 1x, /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F7290107646826_1.jpg&w=384&q=75 2x"
YES,YES,explicit_bar_type_with_pack,7.29011E+12,חטיף דגנים עם שברי אגוזים ושוקולד חלב בטר שישייה,בטר,חטיף דגנים,"חטיף דגנים עם שברי אגוזים ושוקולד חלב בטר שישייה
אנרג'י | 144 גרם
‏13.90 ‏₪
‏9.65 ‏₪ / 100 גרם",חטיף דגנים עם שברי אגוזים ושוקולד חלב בטר שישייה,"https://yochananof.co.il/_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F3%2F7%2F370311_7290110563851.jpg&w=256&q=75 /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F3%2F7%2F370311_7290110563851.jpg&w=256&q=75 1x, /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F3%2F7%2F370311_7290110563851.jpg&w=384&q=75 2x"
YES,YES,explicit_bar_type_with_pack,5.90002E+12,חטיפי דגנים פיטנס קרם ועוגיות שישייה,פיטנס,חטיף דגנים,"חטיפי דגנים פיטנס קרם ועוגיות שישייה
פיטנס | 141 גרם
2 יח' ב- ‏26 ₪
‏15.90 ‏₪
‏11.28 ‏₪ / 100 גרם",חטיפי דגנים פיטנס קרם ועוגיות שישייה,"https://yochananof.co.il/_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F1%2F2%2F12605650_5900020018908.jpg&w=256&q=75 /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F1%2F2%2F12605650_5900020018908.jpg&w=256&q=75 1x, /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F1%2F2%2F12605650_5900020018908.jpg&w=384&q=75 2x"
YES,YES,explicit_bar_type_with_multipack_size,4.0118E+12,קורני חטיפי דגנים שוקולד מריר 58% קקאו,Corny,חטיף דגנים,"קורני חטיפי דגנים שוקולד מריר 58% קקאו
קורני | 138 גרם
2 יח' ב- ‏25 ₪
‏15.90 ‏₪
‏11.52 ‏₪ / 100 גרם",קורני חטיפי דגנים שוקולד מריר 58% קקאו,"https://yochananof.co.il/_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F4%2F0%2F4011800633516.jpg&w=256&q=75 /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F4%2F0%2F4011800633516.jpg&w=256&q=75 1x, /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F4%2F0%2F4011800633516.jpg&w=384&q=75 2x"
YES,YES,explicit_bar_type_with_pack,5.90002E+12,חטיפי דגנים פיטנס שוקולד מריר שישייה,פיטנס,חטיף דגנים,"חטיפי דגנים פיטנס שוקולד מריר שישייה
פיטנס | 141 גרם
2 יח' ב- ‏26 ₪
‏15.90 ‏₪
‏11.28 ‏₪ / 100 גרם",חטיפי דגנים פיטנס שוקולד מריר שישייה,"https://yochananof.co.il/_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F1%2F2%2F12506828_5900020015174.jpg&w=256&q=75 /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F1%2F2%2F12506828_5900020015174.jpg&w=256&q=75 1x, /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F1%2F2%2F12506828_5900020015174.jpg&w=384&q=75 2x"
YES,YES,explicit_bar_type_with_pack,5.90002E+12,חטיף דגנים סיני מיניס 25*6,,חטיף דגנים,"חטיף דגנים סיני מיניס 25*6
סיני מיניס | 150 גרם
2 יח' ב- ‏26 ₪
‏15.90 ‏₪
‏10.60 ‏₪ / 100 גרם",חטיף דגנים סיני מיניס 25*6,"https://yochananof.co.il/_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F1%2F2%2F12627525_5900020022325.jpg&w=256&q=75 /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F1%2F2%2F12627525_5900020022325.jpg&w=256&q=75 1x, /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F1%2F2%2F12627525_5900020022325.jpg&w=384&q=75 2x"
YES,YES,explicit_bar_type_with_pack,5.90002E+12,חטיף דגנים שוקו וניל נסטלה שישייה,,חטיף דגנים,"חטיף דגנים שוקו וניל נסטלה שישייה
קראנץ | 150 גרם
2 יח' ב- ‏26 ₪
‏15.90 ‏₪
‏10.60 ‏₪ / 100 גרם",חטיף דגנים שוקו וניל נסטלה שישייה,"https://yochananof.co.il/_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F1%2F2%2F12606075_5900020020710.jpg&w=256&q=75 /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F1%2F2%2F12606075_5900020020710.jpg&w=256&q=75 1x, /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F1%2F2%2F12606075_5900020020710.jpg&w=384&q=75 2x"
YES,YES,explicit_bar_type_with_pack,5.90002E+12,חטיפי דגנים פיטנס קלאסי שישייה,פיטנס,חטיף דגנים,"חטיפי דגנים פיטנס קלאסי שישייה
פיטנס | 141 גרם
2 יח' ב- ‏26 ₪
‏15.90 ‏₪
‏11.28 ‏₪ / 100 גרם",חטיפי דגנים פיטנס קלאסי שישייה,"https://yochananof.co.il/_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F1%2F2%2F12505889_5900020039590.jpg&w=256&q=75 /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F1%2F2%2F12505889_5900020039590.jpg&w=256&q=75 1x, /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F1%2F2%2F12505889_5900020039590.jpg&w=384&q=75 2x"
