bc | feFat feFib feSug feProt feKcal feNa | b1Fat b1Fib b1Sug b1Prot b1Kcal b1Na | MISMATCH
7290017962047 | 0.5 14.5 9.6 11.4 386.0 10.0 | 14.8 14.5 9.6 11.4 386.0 10.0 | FAT
7290116534619 | 0.5 12.3 8.0 20.7 411.0 71.0 | 11.4 12.3 8.0 20.7 411.0 71.0 | FAT
7290106773714 | 0.5 11.7 4.8 17.7 504.0 394.0 | 34.2 11.7 4.8 17.7 504.0 394.0 | FAT
7290017962023 | 0.5 9.5 11.9 12.1 414.0 7.0 | 17.3 9.5 11.9 12.1 414.0 7.0 | FAT
7290013433244 | 0.5 6.3 13.2 18.0 401.0 15.0 | 12.7 6.3 13.2 18.0 401.0 15.0 | FAT
7290013433336 | 0.5 9.4 13.5 12.0 410.0 69.0 | 17.2 9.4 13.5 12.0 410.0 69.0 | FAT
7290106771369 | 0.5 14.7 9.5 14.6 451.0 6.0 | 20.0 14.7 9.5 14.6 451.0 6.0 | FAT
7290112498007 | 0.5 12.8 8.8 23.6 411.0 56.0 | 11.5 12.8 8.8 23.6 411.0 56.0 | FAT
7290106771314 | 0.5 14.4 9.9 11.8 440.0 9.0 | 19.3 14.4 9.9 11.8 440.0 9.0 | FAT
7290112497994 | 0.5 8.3 9.0 23.7 431.0 65.0 | 12.7 8.3 9.0 23.7 431.0 65.0 | FAT
7290106771161 | 0.5 6.7 15.6 10.4 451.0 8.0 | 19.7 6.7 15.6 10.4 451.0 8.0 | FAT
7290011668587 | 0.5 5.7 25.0 11.2 423.0 195.0 | 17.2 5.7 25.0 11.2 423.0 195.0 | FAT
7290013433091 | 0.5 6.5 13.4 11.0 416.0 99.0 | 14.0 6.5 13.4 11.0 416.0 99.0 | FAT
7290014471443 | 0.5 6.0 20.0 9.0 371.0 20.0 | 13.1 6.0 20.0 9.0 371.0 20.0 | FAT
7290013433107 | 0.5 8.2 9.3 13.0 432.0 16.0 | 19.2 8.2 9.3 13.0 432.0 16.0 | FAT
7613035635845 | 0.5 7.6 17.7 9.0 435.0 77.0 | 14.8 7.6 17.7 9.0 435.0 77.0 | FAT
7613037012095 | 0.5 7.3 17.9 9.1 443.0 89.0 | 16.4 7.3 17.9 9.1 443.0 89.0 | FAT
7290011131050 | 0.5 7.0 17.0 10.0 414.0 40.0 | 12.0 7.0 17.0 10.0 414.0 40.0 | FAT
7290011131968 | 0.5 7.0 18.0 10.0 415.0 40.0 | 13.0 7.0 18.0 10.0 415.0 40.0 | FAT
7613035622623 | 0.5 7.1 17.9 8.7 428.0 89.0 | 13.2 7.1 17.9 8.7 428.0 89.0 | FAT
7290011131975 | 0.5 7.0 21.0 9.0 396.0 40.0 | 10.0 7.0 21.0 9.0 396.0 40.0 | FAT
1343845 | 0.5 6.0 21.0 8.9 364.0 20.0 | 11.5 6.0 21.0 8.9 364.0 20.0 | FAT

SUMMARY: fat-mismatch: 22 | non-fat-mismatch: 0 | missing BSIP1: 0 | of 22
