count: 22
null sugar count: 0
25.0 bsip1_cereal_7290011668587
21.0 bsip1_cereal_7290011131975
21.0 bsip1_cereal_1343845
20.0 bsip1_cereal_7290014471443
18.0 bsip1_cereal_7290011131968
17.9 bsip1_cereal_7613037012095
17.9 bsip1_cereal_7613035622623
17.7 bsip1_cereal_7613035635845
17.0 bsip1_cereal_7290011131050
15.6 bsip1_cereal_7290106771161
13.5 bsip1_cereal_7290013433336
13.4 bsip1_cereal_7290013433091
13.2 bsip1_cereal_7290013433244
11.9 bsip1_cereal_7290017962023
9.9 bsip1_cereal_7290106771314
9.6 bsip1_cereal_7290017962047
9.5 bsip1_cereal_7290106771369
9.3 bsip1_cereal_7290013433107
9.0 bsip1_cereal_7290112497994
8.8 bsip1_cereal_7290112498007
8.0 bsip1_cereal_7290116534619
4.8 bsip1_cereal_7290106773714

max: 25.0
min: 4.8
max/min ratio: 5.208333333333334
